"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,masses nutlin_only_rep1,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep1,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep1,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep1,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep1,masses xray_7hr_rep5,masses xray_7hr_rep6,rel. abundances nutlin_only_rep1,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep1,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep1,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep1,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep1,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
"(5, 1, 1, 0, 0, 0)",44226.90764506167,454.79999999999563,,,,,,,,,,44226.90764506167,,,,,,,,,,,,,,,0.0257496073588736,,,,,
"(5, 1, 0, 0, 0, 1)",44236.90764506167,464.79999999999563,,,,,,,,,,44236.90764506167,,,,,,,,,,,,,,,0.01586385059172659,,,,,
"(6, 0, 0, 0, 0, 0)",44251.357645061675,479.25,44251.927645061674,,,,,,,,,44250.787645061675,,,,,,0.01662976466625242,,,,,,,,,0.026065105110139975,,,,,
"(4, 3, 0, 0, 0, 2)",44262.84764506167,490.73999999999796,,44261.70764506167,,,,,,,,44263.98764506167,,,,,,,0.016394844451690312,,,,,,,,0.0200380802821241,,,,,
"(6, 0, 0, 1, 0, 0)",44267.05764506167,494.9499999999971,,,44266.66764506168,,44266.62764506167,,,44266.647645061676,44268.647645061676,,44267.70764506167,,44267.84764506168,44266.70764506167,44265.607645061675,,,0.02297400491295064,,0.023700383818613932,,,0.016389715339161306,0.03638667361358304,,0.017521750336176173,,0.01950493257722535,0.02524793908470771,0.03206623809138961
"(6, 0, 2, 0, 0, 0)",44279.99431172834,507.8866666666654,,,,,,,,,,44278.827645061676,,44280.54764506167,,,44280.607645061675,,,,,,,,,,0.014085494199252563,,0.015275552863089995,,,0.026584164604850788
"(6, 0, 0, 2, 0, 0)",44285.52193077596,513.414285714287,,44284.70764506167,44283.70764506168,44284.747645061674,44286.62764506167,44285.607645061675,,,,,44286.607645061675,,,44286.64764506167,,,0.02318273692446693,0.021422583222707698,0.0216610823990713,0.0591524774981319,0.031641101557878686,,,,,0.01645586618123546,,,0.03214938052817057,
"(6, 1, 0, 0, 0, 0)",44291.607645061675,519.5,,,,,,,,,,,,44292.62764506167,,,44290.58764506168,,,,,,,,,,,,0.025813928925059088,,,0.031013797828915723
"(5, 3, 0, 0, 0, 0)",44297.88764506167,525.7799999999988,,,,,,,,,,,,,44297.88764506167,,,,,,,,,,,,,,,0.021688083840186303,,
"(6, 0, 2, 0, 0, 1)",44301.96431172834,529.8566666666666,44301.84764506167,44303.647645061676,,,44301.607645061675,,,44301.58764506167,,,,,,44302.66764506167,44300.427645061674,0.020092858877152744,0.019475592054087557,,,0.018840449142078244,,,0.01989274215832035,,,,,,0.014678048906614845,0.020666672244975877
"(7, 0, 0, 0, 1, 0)",44312.84764506167,540.739999999998,,,,,,,,,,44312.84764506167,,,,,,,,,,,,,,,0.025336628669854228,,,,,
"(6, 1, 0, 2, 0, 0)",44325.84764506167,553.739999999998,,,,,,,,,,44325.84764506167,,,,,,,,,,,,,,,0.011803545420464922,,,,,
"(6, 2, 0, 0, 0, 0)",44337.88764506167,565.7799999999988,,,,,,,,,,44337.88764506167,,,,,,,,,,,,,,,0.012159737180367596,,,,,
"(5, 3, 0, 0, 0, 2)",44342.92764506168,570.820000000007,,,,,44343.567645061674,44343.62764506168,,,,,,,,,44341.58764506168,,,,,0.020234210782053137,0.01658389748429432,,,,,,,,,0.01975787092191204
"(6, 2, 0, 0, 0, 1)",44357.04764506168,584.9400000000023,,,,,,,,,,44357.04764506168,,,,,,,,,,,,,,,0.012191518525053988,,,,,
"(7, 0, 0, 2, 0, 0)",44363.44764506167,591.3399999999965,,,,,44363.567645061674,,,,,,44363.567645061674,44363.20764506167,,,,,,,,0.020290946891340342,,,,,,0.017577777189472035,0.015665357456481534,,,
"(7, 0, 1, 0, 0, 1)",44367.62764506168,595.5200000000041,,,,,,,,,,,,,,,44367.62764506168,,,,,,,,,,,,,,,0.03159769602348678
"(7, 1, 0, 0, 0, 0)",44372.76764506167,600.6599999999962,,,,,,,,,,44372.76764506167,,,,,,,,,,,,,,,0.017023411571346174,,,,,
"(7, 0, 1, 1, 0, 1)",44383.23431172833,611.1266666666561,,,,,44383.54764506167,,,44382.58764506167,,,44383.567645061674,,,,,,,,,0.049829455676831814,,,0.032782065993545814,,,0.01439197920757387,,,,
"(7, 1, 0, 0, 0, 1)",44396.40764506168,624.3000000000029,,44396.40764506168,,,,,,,,,,,,,,,0.01763077830265989,,,,,,,,,,,,,
"(7, 1, 1, 1, 0, 0)",44404.62764506168,632.5200000000041,,,,,,,,,,,,,,,44404.62764506168,,,,,,,,,,,,,,,0.01575212524426892
"(8, 0, 1, 1, 0, 0)",44441.66764506167,669.5599999999977,,,,,,,,,,44441.66764506167,,,,,,,,,,,,,,,0.023290874203124833,,,,,
"(8, 0, 0, 2, 0, 0)",44444.52764506167,672.4199999999983,,,,,44444.52764506167,,,,,,,,,,,,,,,0.019123706127488985,,,,,,,,,,
"(8, 0, 1, 0, 0, 1)",44447.58764506167,675.4799999999959,,,,,,,,44447.58764506167,,,,,,,,,,,,,,,0.018487941687284716,,,,,,,
"(8, 0, 2, 0, 0, 1)",44461.88764506167,689.7799999999988,,44460.607645061675,,,44463.48764506167,,,44461.567645061674,,,,,,,,,0.014903241169530788,,,0.023243711304947973,,,0.026660286031845264,,,,,,,
"(8, 1, 1, 0, 0, 0)",44468.647645061676,696.5400000000009,,,,,,,,,,44468.647645061676,,,,,,,,,,,,,,,0.00951350930079396,,,,,
"(8, 1, 0, 0, 0, 1)",44475.76764506167,703.6599999999962,,,,,,,,,,,,44475.76764506167,,,,,,,,,,,,,,,0.015128434497623942,,,
"(8, 1, 2, 0, 0, 0)",44482.76764506167,710.6599999999962,,,,,,,,,,44482.76764506167,,,,,,,,,,,,,,,0.015546114420497395,,,,,
"(9, 0, 1, 0, 0, 0)",44506.747645061674,734.6399999999994,,,,,,,,,,44506.747645061674,,,,,,,,,,,,,,,0.014442922950973465,,,,,
