"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,mass std,masses uv-1,masses uv-2,masses xray-nutlin_7hr,masses xray_2hr,masses xray_7hr,rel. abundances uv-1,rel. abundances uv-2,rel. abundances xray-nutlin_7hr,rel. abundances xray_2hr,rel. abundances xray_7hr
"(5, 2, 1, 1, 0, 0)",44285.76841272725,513.5133333333337,0.0158062175873365,,,44285.784047328256,44285.76875054496,44285.75244030854,,,0.023559246382740283,0.022841844688914512,0.028512427763580518
"(6, 0, 1, 0, 0, 1)",44287.831650714725,514.5300000000025,0.02254099679331296,44287.81571182304,44287.84758960641,,,,0.04590446852001108,0.02930557533133071,,,
"(5, 2, 0, 0, 0, 2)",44301.81571182304,528.5,,44301.81571182304,,,,,0.019242162959846893,,,,
"(4, 5, 0, 0, 0, 0)",44302.7982438184,530.0299999999952,0.0082074023418243,,,44302.804047328245,,44302.79244030854,,,0.020324638750437843,,0.013529056284529686
"(6, 0, 1, 1, 0, 1)",44304.76758960641,531.4800000000032,,,44304.76758960641,,,,,0.02217636423229316,,,
"(5, 4, 0, 0, 0, 0)",44340.75244030854,568.5,,,,,,44340.75244030854,,,,,0.010359909531872574
"(7, 0, 2, 0, 1, 0)",44342.90758960641,569.6200000000026,,,44342.90758960641,,,,,0.020294894954993908,,,
"(7, 0, 1, 1, 1, 0)",44343.762231183995,571.489999999998,0.07563304505812937,44343.81571182304,,,44343.70875054495,,0.02649982617095722,,,0.015203969559004058,
"(7, 0, 2, 0, 0, 0)",44360.77639893661,588.5199999999968,0.06738500169155023,,,44360.82404732825,44360.72875054496,,,,0.018030492253578008,0.017606644121406927,
"(7, 0, 0, 2, 0, 0)",44364.76407606579,591.9799999999996,0.016455445708403443,44364.77571182304,,,,44364.75244030854,0.03426627016705096,,,,0.012507087829116852
"(6, 3, 0, 0, 0, 0)",44379.72758960641,606.4400000000023,,,44379.72758960641,,,,,0.01577640941325748,,,
"(7, 0, 1, 1, 0, 1)",44382.66875054496,611.4400000000023,,,,,44382.66875054496,,,,,0.016668421664243725,
"(5, 5, 0, 0, 0, 0)",44383.72987957565,610.4300000000003,0.008248043356289385,44383.735711823036,,44383.72404732826,,,0.04325181411133843,,0.028408920269088665,,
"(7, 0, 0, 2, 0, 1)",44385.67244030854,613.4199999999983,,,,,,44385.67244030854,,,,,0.010925372954004803
"(7, 1, 2, 0, 0, 0)",44403.79571182304,630.4800000000032,,44403.79571182304,,,,,0.017181199420407404,,,,
"(8, 0, 0, 2, 0, 0)",44444.77571182304,671.4599999999991,,44444.77571182304,,,,,0.02027822443492994,,,,
"(8, 0, 1, 0, 0, 1)",44447.74404732825,674.4599999999919,,,,44447.74404732825,,,,,0.017100457140568973,,
"(8, 0, 2, 0, 0, 1)",44462.3746924144,689.4399999999987,0.6085577192312875,,44462.747589606406,44462.704047328254,,44461.67244030854,,0.017299198642472313,0.02286451072571531,,0.012504106236006358
"(8, 0, 1, 1, 0, 1)",44464.67571182304,691.3600000000006,,44464.67571182304,,,,,0.022764777383735033,,,,
"(7, 3, 0, 0, 0, 1)",44480.695711823035,707.3799999999974,,44480.695711823035,,,,,0.013800285575698693,,,,
