vertical_error,horizontal_error,basal_noise,all_detected_mass_shifts,simulated_mass_shifts,matching_mass_shifts,mass_shift_deviation,r_score_abundance,matching_ptm_patterns_min_ptm,matching_ptm_patterns_min_error,matching_ptm_patterns_min_both,matching_ptm_patterns_min_err
0,0,0,12.333333333333334,18,9.333333333333334,0.33269809141610845,-1.9202927361887336,2.3333333333333335,,1.0,1.0
0,0,1,12.0,18,9.0,0.4137768046808305,-1.7951490523460805,2.0,,1.0,0.6666666666666666
0,1,0,12.0,18,9.0,0.32488328760349355,-2.093578420763469,2.0,,1.0,1.0
0,1,1,13.0,18,10.0,0.40104404871276206,-1.5033704277806657,2.3333333333333335,,1.0,1.0
1,0,0,12.0,18,9.0,0.3265722689861464,-2.177558004993983,2.0,,1.0,1.3333333333333333
1,0,1,12.0,18,9.0,0.43843772028423605,-1.8187801439162492,2.0,,1.0,0.6666666666666666
1,1,0,12.0,18,9.0,0.33790198739979443,-2.1022419789960267,2.0,,1.0,1.0
1,1,1,12.0,18,8.666666666666666,0.3065670306735195,-1.8596672461534254,2.0,,1.0,1.0
