PTM pattern,average mass,mass shift,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep5,masses xray_7hr_rep6,raw intensities nutlin_only_rep5,raw intensities nutlin_only_rep6,raw intensities uv_7hr_rep5,raw intensities uv_7hr_rep6,raw intensities xray-nutlin_rep5,raw intensities xray-nutlin_rep6,raw intensities xray_2hr_rep5,raw intensities xray_2hr_rep6,raw intensities xray_7hr_rep5,raw intensities xray_7hr_rep6,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
1[Ac]1[Ox]2[Cys],43949.030055053285,296.478925660871,,,,,,,43949.04185871494,,43949.01825139164,,,,,,,,578.7983362200124,,691.7323295677314,,,,,,,,0.055302021512218996,,0.09993066983903878,
3[Ph]1[Ac]1[Ox],43950.16543532915,297.6143059367387,43950.08828105968,43950.222444928164,,43950.19191207233,43950.09532743239,43950.2292111532,,,,,711.4225142821725,708.7780671268662,,589.120907749011,901.165878420708,577.3935376306009,,,,,0.15239281964906415,0.1343576203208196,,0.06744634388862131,0.1471146013574801,0.13207477850710692,,,,
2[Ph]1[Cys]1[Cys-Cys]1[Na],43951.118797396986,298.5676680045726,,,43951.11636049339,,,,,,,43951.12123430058,,,1008.0325820288358,,,,,,,160.4449944910208,,,0.1033100351353544,,,,,,,0.09139121055534578
2[Ph]1[Me2]1[Cys],43960.249211153205,307.69808176079096,,,,,,43960.249211153205,,,,,,,,,,108.17182928532381,,,,,,,,,,0.02474355783785715,,,,
2[Ph]2[Ox]1[Cys],43963.262444928165,310.71131553575105,,43963.262444928165,,,,,,,,,,144.33118646757902,,,,,,,,,,0.027359755685545738,,,,,,,,
1[Ph]2[Cys]2[Cys-Cys],43967.078251391635,314.527121999221,,,,,,,,,43967.078251391635,,,,,,,,,,106.18814764674724,,,,,,,,,,0.015340403028346786,
3[Cys]2[Cys-Cys],44006.09852504421,353.54739565179625,,,,,,,,44006.09852504421,,,,,,,,,,68.9933382978731,,,,,,,,,,0.032011168858927984,,
1[Ph]1[Me1]2[Cys]1[Na],44007.00185871494,354.45072932252515,,,,,,,44007.00185871494,,,,,,,,,,311.6826737237913,,,,,,,,,,0.029780116577092314,,,
3[Ph]1[Cys]1[Cys-Cys],44009.01678941202,356.4656600196031,,,,,44009.0153274324,,,,44009.01825139164,,,,,,296.42765439470696,,,,636.7154191973715,,,,,,0.04839157501617198,,,,0.09198268696939312,
3[Cys],44010.171912072336,357.62078267992183,,,,44010.171912072336,,,,,,,,,,326.2404340043798,,,,,,,,,,0.037350099466520584,,,,,,
3[Ph]1[Cys],44011.14208019545,358.59095080303814,44011.028281059684,44011.262444928165,44011.15636049339,,,,,,,44011.12123430058,276.86059211287443,410.23626923392203,397.2227837579817,,,,,,,196.17769083020582,0.05930591938654317,0.07776534215708883,0.04071009258848189,,,,,,,0.11174494228256059
1[Ph]1[Ac]2[Cys],44012.209211153204,359.6580817607901,,,,,,44012.209211153204,,,,,,,,,,382.87295529457384,,,,,,,,,,0.08757954059271805,,,,
3[Ph]1[Ox]1[Cys],44026.98838821793,374.4372588255137,,,,,,,,44027.018525044215,44026.95825139163,,,,,,,,,261.56839394640866,759.1117269279594,,,,,,,,,0.12136113765979645,0.10966459150750556,
3[Ph]1[Ox]1[Cys],44028.01154650776,375.4604171153478,,,,,,,44027.96185871494,,,44028.061234300585,,,,,,,1284.9401615886434,,,245.80973177150454,,,,,,,0.12277123829028788,,,0.14001589157796926
3[Cys]1[Cys-Cys]1[Na],44029.16785605124,376.6167266588236,,44029.222444928164,,44029.11191207234,,44029.1692111532,,,,,,744.8863659903249,,1187.676713213939,,875.3835597791941,,,,,,0.14120239350742966,,0.13597285544321994,,0.2002379351889587,,,,
3[Cys]1[Cys-Cys]1[Na],44030.015843962894,377.4647145704803,,,44030.01636049339,,44030.0153274324,,,,,,,,1450.9031718166377,,928.3466287158466,,,,,,,,0.14869842535911812,,0.15155183687651042,,,,,
1[Me1]3[Me3]2[Cys],44031.06828105968,378.51715166726353,44031.06828105968,,,,,,,,,,458.7703097460089,,,,,,,,,,0.09827254503466418,,,,,,,,,
3[Ph]1[Me2]1[Cys],44039.21852504421,386.66739565179887,,,,,,,,44039.21852504421,,,,,,,,,,62.52871711865498,,,,,,,,,,0.02901174767882062,,
1[Me1]3[Cys]1[Na],44045.262444928165,392.71131553575105,,44045.262444928165,,,,,,,,,,206.4576749145606,,,,,,,,,,0.03913659745558214,,,,,,,,
1[Me1]3[Cys]1[Na],44045.976789412016,393.4256600196022,,,,,44045.99532743239,,,,44045.95825139163,,,,,,420.9528143027675,,,,461.0131761296081,,,,,,0.06872020673373727,,,,0.06659997447863046,
2[Ph]2[Cys]2[Cys-Cys],44047.08139981584,394.5302704234273,44047.028281059684,,44047.05636049339,44047.131912072335,,44047.0892111532,,,,44047.101234300586,374.5129146176161,,420.24281707528814,384.48163192290747,,141.73782156326465,,,,62.111522381262645,0.0802238865200304,,0.04306934217349175,0.044017925733810054,,0.03242154643065041,,,,0.035379397393271284
2[Ph]2[Cys]1[Cys-Cys],44047.96185871494,395.4107293225243,,,,,,,44047.96185871494,,,,,,,,,,511.62252711629054,,,,,,,,,,0.048883623587276416,,,
5[Ph]1[Ox],44069.01825139164,416.4671219992233,,,,,,,,,44069.01825139164,,,,,,,,,,167.59291513369902,,,,,,,,,,0.024211203602488067,
1[Ph]3[Cys]2[Cys-Cys],44085.07852504421,432.52739565179945,,,,,,,,44085.07852504421,,,,,,,,,,145.04304875563477,,,,,,,,,,0.06729631642818307,,
1[Ph]3[Cys]2[Cys-Cys],44086.061234300585,433.51010490817134,,,,,,,,,,44086.061234300585,,,,,,,,,,167.39909827475148,,,,,,,,,,0.09535234356007924
2[Ph]1[Me1]2[Cys]1[Na],44087.000055053286,434.4489256608722,,,,,,,44087.00185871494,,44086.99825139163,,,,,,,,665.4876864102349,,451.4757807213408,,,,,,,,0.06358486548238142,,0.06522216073344449,
1[Ph]3[Cys]1[Cys-Cys],44088.19331238035,435.64218298793276,44088.08828105968,44088.262444928165,,,,44088.2292111532,,,,,69.19362169198989,349.73102008340396,,,,396.7899940168772,,,,,0.01482186872032372,0.06629582628206275,,,,0.09076296695087552,,,,
1[Ph]3[Cys],44089.14119999937,436.59007060695876,,,44089.09636049339,44089.131912072335,44089.1953274324,,,,,,,,521.0916702058873,674.6744210990873,247.16886029739032,,,,,,,,0.05340501856533318,0.07724105938146772,0.040350116689235827,,,,,
4[Ph]1[Me1]1[Cys]1[Cys-Cys],44103.021234300584,450.47010490817047,,,,,,,,,,44103.021234300584,,,,,,,,,,47.098163501997455,,,,,,,,,,0.02682762519975057
4[Ph]1[Me1]1[Cys],44105.06447061679,452.513341224374,,44105.222444928164,,,44105.115327432395,,44104.94185871494,,44104.978251391636,,,303.6767982158662,,,476.8885507907504,,993.5188799863372,,372.67968320773616,,,0.05756568077836184,,,0.07785167050984905,,0.09492702213455398,,0.053838932758315236,
1[Ph]1[Ox]3[Cys],44106.028281059684,453.47715166726994,44106.028281059684,,,,,,,,,,286.70509784022966,,,,,,,,,,0.061414697160264264,,,,,,,,,
2[Ac]1[Me1]3[Cys],44108.06413628286,455.5130068904473,,,44108.036360493395,44108.091912072334,,,,,,,,,846.9871008692878,1028.4362479979438,,,,,,,,,0.08680499887601349,0.11774198460385432,,,,,,
1[Ph]3[Cys]1[Na],44111.113868098706,458.5627387062923,,,,,,44111.1892111532,,44111.03852504421,,,,,,,,257.45355722590335,,106.75478145849054,,,,,,,,0.058890720679025226,,0.04953152608751277,,
1[Ph]1[Me2]3[Cys],44117.201234300584,464.65010490817076,,,,,,,,,,44117.201234300584,,,,,,,,,,61.24739614983608,,,,,,,,,,0.034887181711421994
2[Ac]1[Me2]3[Cys],44122.92185871494,470.3707293225234,,,,,,,44122.92185871494,,,,,,,,,,614.4635947953496,,,,,,,,,,0.05870970390096453,,,
1[Ac]1[Me1]1[Me3]1[Ox]3[Cys],44124.08521855828,471.5340891658634,,,,44124.091912072334,,,,44124.07852504421,,,,,,466.5220012336514,,,,104.14055063474984,,,,,,0.053410433941377095,,,,0.048318588919960784,,
4[Cys]2[Cys-Cys],44125.24244492816,472.691315535747,,44125.24244492816,,,,,,,,,,153.1358036415537,,,,,,,,,,0.02902877941271381,,,,,,,,
4[Cys],44128.93636049339,476.38523110097594,,,44128.93636049339,,,,,,,,,,540.2557917331009,,,,,,,,,,0.055369088084127764,,,,,,,
4[Cys],44129.98351348646,477.43238409404876,44129.98828105968,,,,44129.99532743239,44130.0092111532,,,,44129.94123430058,351.5544872136292,,,,399.80908417892016,130.37479404022935,,,,63.573206057171404,0.0753059939645325,,,,0.06526850987873517,0.029822332470907077,,,,0.03621198828221774
3[Ph]2[Cys],44130.91825139164,478.36712199922476,,,,,,,,,44130.91825139164,,,,,,,,,,331.0357990520296,,,,,,,,,,0.04782287559212837,
3[Ph]1[Me1]2[Cys],44144.061234300585,491.51010490817134,,,,,,,,,,44144.061234300585,,,,,,,,,,41.35252833494645,,,,,,,,,,0.023554849037478058
1[Ox]4[Cys],44145.04828105968,492.49715166726673,44145.04828105968,,,,,,,,,,94.34319665835363,,,,,,,,,,0.020209123924028946,,,,,,,,,
3[Ph]1[Ox]2[Cys],44147.031912072336,494.4807826799224,,,,44147.031912072336,,,,,,,,,,165.42458639457132,,,,,,,,,,0.018938868736185898,,,,,,
1[Ph]1[Ac]1[Ox]3[Cys],44147.94185871494,495.3907293225275,,,,,,,44147.94185871494,,,,,,,,,,157.12427498810973,,,,,,,,,,0.015012638239826057,,,
4[Cys]1[Na],44150.87825139164,498.3271219992239,,,,,,,,,44150.87825139164,,,,,,,,,,168.52989948016042,,,,,,,,,,0.024346564448538294,
3[Ph]1[Me2]2[Cys]1[Cys-Cys],44156.16123430058,503.6101049081699,,,,,,,,,,44156.16123430058,,,,,,,,,,45.21971108705813,,,,,,,,,,0.025757638312864393
1[Ox]4[Cys]1[Na],44166.94185871494,514.3907293225275,,,,,,,44166.94185871494,,,,,,,,,,402.86469666607684,,,,,,,,,,0.038492218666420275,,,
2[Ph]3[Cys],44170.105218558274,517.5540891658602,,,,44170.091912072334,,,,44170.118525044214,,,,,,421.60392668621296,,,,83.23128080422448,,,,,,0.0482679243768855,,,,0.03861721508047417,,
1[Me2]4[Cys]1[Na],44178.521234300584,525.9701049081705,,,,,,,,,,44178.521234300584,,,,,,,,,,61.98120602740746,,,,,,,,,,0.03530516778348031
2[Ph]1[Ox]3[Cys],44185.935327432395,533.3841980399811,,,,,44185.935327432395,,,,,,,,,,156.5608882424454,,,,,,,,,,0.0255584384778578,,,,,
1[Ac]1[Ox]4[Cys],44186.87825139164,534.3271219992239,,,,,,,,,44186.87825139164,,,,,,,,,,202.63388943738735,,,,,,,,,,0.02927337560790574,
1[Ac]1[Ox]4[Cys],44187.994603085084,535.4434736926705,44188.04828105968,,44187.97636049339,44188.05191207233,,,44187.90185871494,,,,165.51062406109176,,357.15592131296256,336.63226086255827,,,386.44861435409285,,,,0.03545379879915063,,0.036603768010532944,0.03853982252453556,,,0.03692372325039578,,,
1[Me2]2[Ox]4[Cys],44189.14244492816,536.5913155357484,,44189.14244492816,,,,,,,,,,87.54802239405777,,,,,,,,,,0.01659580692210384,,,,,,,,
1[Me2]4[Cys]2[Na],44200.99852504421,548.4473956517977,,,,,,,,44200.99852504421,,,,,,,,,,98.20870833086946,,,,,,,,,,0.04556636370056013,,
1[Ac]2[Ox]4[Cys],44203.92270902361,551.3715796311953,44203.92828105968,44204.082444928164,,,,,44203.841858714935,,44203.83825139164,,290.1775033407633,179.52273426132405,,,,,431.06915310180176,,325.76628625083436,,0.06215851627558307,0.0340307474053384,,,,,0.041187049247197904,,0.04706161878593297,
1[Ph]4[Cys]2[Cys-Cys],44204.951912072334,552.4007826799207,,,,44204.951912072334,,,,,,,,,,277.4954735413498,,,,,,,,,,0.03176946343241899,,,,,,
2[Ph]1[Me1]3[Cys]1[Na],44205.9822692928,553.4311399003855,,,,,44205.95532743239,44206.0092111532,,,,,,,,,453.9228161140311,189.21931398029935,,,,,,,,,0.07410253288407898,0.04328260944133273,,,,
1[Ph]4[Cys]1[Cys-Cys],44206.91636049339,554.3652311009791,,,44206.91636049339,,,,,,,,,,595.4077300440315,,,,,,,,,,0.061021433837890465,,,,,,,
3[Ph]1[Ac]1[Me3]2[Cys],44214.85825139163,562.3071219992198,,,,,,,,,44214.85825139163,,,,,,,,,,140.4544710180103,,,,,,,,,,0.020290665580844903,
2[Ph]4[Ac]2[Cys],44218.86123430058,566.310104908167,,,,,,,,,,44218.86123430058,,,,,,,,,,100.95123941545832,,,,,,,,,,0.057502921836290785
1[Ph]1[Me1]4[Cys]1[Cys-Cys],44220.98828105968,568.4371516672691,44220.98828105968,,,,,,,,,,166.7884484168558,,,,,,,,,,0.03572751976339031,,,,,,,,,
1[Me1]5[Cys],44262.88828105968,610.3371516672632,44262.88828105968,,,,,,,,,,78.670490158844,,,,,,,,,,0.01685189543175611,,,,,,,,,
3[Ph]1[Ox]3[Cys],44265.81005505328,613.2589256608699,,,,,,,44265.841858714935,,44265.77825139163,,,,,,,,182.41149684026635,,170.6155308610774,,,,,,,,0.017428737940431708,,0.024647863855872046,
1[Ph]1[Ac]1[Ox]4[Cys],44266.95183961437,614.4007102219548,,44267.04244492816,,,,,,,,44266.86123430058,,132.5015575842849,,,,,,,,57.144470903271,,0.025117303697040093,,,,,,,,0.032550110952117885
5[Cys]1[Cys-Cys]1[Na],44267.83636049339,615.2852311009774,,,44267.83636049339,,,,,,,,,,219.45251274885834,,,,,,,,,,0.02249098611177413,,,,,,,
5[Cys]1[Cys-Cys]1[Na],44269.0092111532,616.4580817607857,,,,,,44269.0092111532,,,,,,,,,,156.67115606270062,,,,,,,,,,0.035837443419174324,,,,
2[Ox]5[Cys],44280.81852504421,628.2673956517974,,,,,,,,44280.81852504421,,,,,,,,,,37.52969801460337,,,,,,,,,,0.017412833325780357,,
3[Ph]2[Ox]3[Cys],44281.86123430058,629.310104908167,,,,,,,,,,44281.86123430058,,,,,,,,,,58.96996909291575,,,,,,,,,,0.03358993453743742
1[Me1]5[Cys]1[Na],44284.718251391634,632.1671219992204,,,,,,,,,44284.718251391634,,,,,,,,,,222.60941930760262,,,,,,,,,,0.03215912779122173,
1[Ox]5[Cys]1[Na],44285.835327432396,633.2841980399826,,,,,44285.835327432396,,,,,,,,,,129.9440843699966,,,,,,,,,,0.02121326675656734,,,,,
2[Ph]4[Cys]1[Cys-Cys],44286.824603085086,634.2734736926723,44286.86828105968,,44286.79636049339,44286.91191207233,,,44286.72185871494,,,,107.00185693495138,,570.0329284002913,276.04984863716624,,,208.1598481364824,,,,0.022920717799402412,,0.05842085157884157,0.031603959011952794,,,0.019888896838929727,,,
1[Ph]2[Me3]4[Cys],44293.978525044215,641.4273956518009,,,,,,,,44293.978525044215,,,,,,,,,,55.36611191744364,,,,,,,,,,0.02568847951666995,,
2[Ph]3[Ac]3[Cys],44295.881234300585,643.330104908171,,,,,,,,,,44295.881234300585,,,,,,,,,,78.31782769174208,,,,,,,,,,0.04461068482391241
2[Ph]1[Me1]4[Cys]1[Cys-Cys],44300.81532743239,648.2641980399785,,,,,44300.81532743239,,,,,,,,,,109.58296355461852,,,,,,,,,,0.01788933023869196,,,,,
2[Ph]1[Me1]4[Cys],44302.816360493394,650.2652311009806,,,44302.816360493394,,,,,,,,,,200.5714716712507,,,,,,,,,,0.020555928602825558,,,,,,,
1[Ac]1[Me1]5[Cys],44303.80828105968,651.2571516672688,44303.80828105968,,,,,,,,,,88.02283218674104,,,,,,,,,,0.01885524750923673,,,,,,,,,
2[Ph]1[Ox]4[Cys],44304.85825139163,652.3071219992198,,,,,,,,,44304.85825139163,,,,,,,,,,116.64595240870851,,,,,,,,,,0.016851183123823513,
1[Ph]1[Me1]5[Cys],44341.94123430058,689.3901049081687,,,,,,,,,,44341.94123430058,,,,,,,,,,35.87521753450715,,,,,,,,,,0.020434913347193672
1[Ph]1[Ox]5[Cys],44344.85413628287,692.3030068904554,,,44344.77636049339,44344.93191207234,,,,,,,,,223.0052922572849,142.42986257246963,,,,,,,,,0.022855099120011414,0.01630628511857969,,,,,,
6[Cys]2[Cys-Cys],44363.478525044215,710.9273956518009,,,,,,,,44363.478525044215,,,,,,,,,,34.7805698829087,,,,,,,,,,0.01613730720964198,,
6[Cys]2[Cys-Cys],44363.661858714935,711.1107293225214,,,,,,,44363.661858714935,,,,,,,,,,184.46660140457453,,,,,,,,,,0.017625095513895826,,,
6[Cys]1[Cys-Cys],44364.77636049339,712.2252311009797,,,44364.77636049339,,,,,,,,,,244.93496812345464,,,,,,,,,,0.025102601457367524,,,,,,,
3[Ph]4[Cys],44368.881234300585,716.330104908171,,,,,,,,,,44368.881234300585,,,,,,,,,,57.87467676924874,,,,,,,,,,0.03296604414004951
1[Ox]6[Cys],44382.68185871494,730.1307293225254,,,,,,,44382.68185871494,,,,,,,,,,147.26922009255048,,,,,,,,,,0.014071024514054823,,,
1[Ox]6[Cys],44383.77532743239,731.2241980399776,,,,,44383.77532743239,,,,,,,,,,210.28090843838584,,,,,,,,,,0.0343281883599678,,,,,
3[Ph]1[Ox]4[Cys],44384.75636049339,732.2052311009757,,,44384.75636049339,,,,,,,,,,489.9796180184938,,,,,,,,,,0.05021644384868712,,,,,,,
1[Me1]1[Ox]6[Cys],44397.58828105968,745.0371516672676,44397.58828105968,,,,,,,,,,83.65139285170436,,,,,,,,,,0.01791884761632184,,,,,,,,,
1[Ac]6[Cys]1[Cys-Cys],44407.00123430059,754.4501049081737,,,,,,,,,,44407.00123430059,,,,,,,,,,27.290403376936496,,,,,,,,,,0.015544910011521139
1[Ph]6[Cys]1[Cys-Cys],44445.73636049339,793.1852311009789,,,44445.73636049339,,,,,,,,,,184.46045155963637,,,,,,,,,,0.018904761682757034,,,,,,,
2[Ph]1[Ac]5[Cys],44449.755327432395,797.2041980399808,,,,,44449.755327432395,,,,,,,,,,155.8528397730317,,,,,,,,,,0.02544285013744913,,,,,
1[Ph]1[Me1]6[Cys],44461.78828105968,809.2371516672647,44461.78828105968,,,,,,,,,,71.29146271926015,,,,,,,,,,0.015271244306425008,,,,,,,,,
4[Ph]1[Ox]4[Cys],44464.69636049339,812.145231100978,,,44464.69636049339,,,,,,,,,,234.60783544778587,,,,,,,,,,0.024044206660818895,,,,,,,
