"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,masses nutlin_only_rep1,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep1,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep1,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep1,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep1,masses xray_7hr_rep5,masses xray_7hr_rep6,rel. abundances nutlin_only_rep1,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep1,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep1,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep1,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep1,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
"(3, 0, 0, 1, 0, 0)",36114.15231172834,256.63799999999173,,36114.29431172834,36115.234311728345,,36114.23431172834,36113.25431172834,,36114.23431172834,36113.21431172835,,36113.234311728345,36115.334311728344,,36114.234311728345,36114.25431172834,,0.0472713994544477,0.09193052254198314,,0.1251934683165584,0.10864962933539866,,0.07141061330028674,0.13391968178637403,,0.06934961924006733,0.08698787006055543,,0.06677763730884212,0.20312549165665286
"(3, 0, 1, 0, 0, 1)",36132.04431172835,274.52999999999884,,36131.274311728346,,36134.374311728345,36133.25431172834,36132.27431172834,,36131.23431172834,36130.234311728345,36133.374311728345,36131.25431172835,36133.334311728344,36131.43431172834,36131.21431172834,36131.274311728346,,0.17563526115663802,,0.04617516984329658,0.10745546986255128,0.03210251266513903,,0.12188585547988487,0.06222376703499086,0.0860712704619184,0.06256947911659878,0.03862104653310202,0.044266550017108275,0.09393975084900538,0.08068342864396698
"(2, 3, 0, 0, 0, 0)",36145.374311728345,287.8599999999933,,,,,,,,,,36145.374311728345,,,,,,,,,,,,,,,0.038083912919275924,,,,,
"(1, 5, 0, 0, 0, 0)",36148.39431172834,290.8799999999901,36148.39431172834,,,,,,,,,,,,,,,0.03038073749700301,,,,,,,,,,,,,,
"(3, 1, 1, 0, 0, 0)",36153.35431172835,295.8399999999965,,,,,,,,,,36153.35431172835,,,,,,,,,,,,,,,0.05368010183322563,,,,,
"(4, 0, 1, 0, 1, 0)",36173.33431172835,315.8199999999997,,,,,,,,,,36173.39431172835,,,,,36173.274311728346,,,,,,,,,,0.020034182077364265,,,,,0.041279812991516625
"(4, 0, 1, 0, 0, 1)",36211.99794809199,354.483636363635,36210.39431172834,36212.25431172834,36212.29431172834,,36212.194311728344,36210.25431172834,,36212.21431172834,36213.274311728346,,36211.29431172834,36212.35431172835,,36212.234311728345,36213.21431172834,0.02424253994314276,0.10140844926869336,0.051148215796022696,,0.09794203317721528,0.042371620152713826,,0.0891623272364942,0.0657986487569439,,0.053326925748611656,0.041783400104014524,,0.06219673981533508,0.06649484687994404
"(4, 0, 1, 1, 0, 1)",36228.72431172834,371.20999999999185,,,,,36229.194311728344,,,36228.25431172834,,,,,,,,,,,,0.04328056706564277,,,0.037978877684938274,,,,,,,
"(4, 1, 1, 0, 0, 0)",36231.880978395006,374.36666666665406,,36231.194311728344,,,,,,,,36232.274311728346,,,,36232.17431172834,,,0.07944151257917179,,,,,,,,0.06779380107827174,,,,0.0385022271988863,
"(4, 1, 2, 0, 0, 0)",36247.35431172835,389.8399999999965,,,,,,,,,,36247.35431172835,,,,,,,,,,,,,,,0.047889437183717735,,,,,
"(4, 1, 0, 2, 0, 0)",36252.374311728345,394.8599999999933,36252.374311728345,,,,,,,,,,,,,,,0.022115323060272564,,,,,,,,,,,,,,
"(5, 0, 1, 0, 0, 0)",36270.31431172835,412.79999999999563,,,,,,,,,,,,,36270.31431172835,,,,,,,,,,,,,,,0.03802530069281666,,
"(5, 0, 0, 2, 0, 0)",36291.219311728346,433.70499999999447,,36292.29431172834,,,36291.194311728344,,,36291.23431172834,,,,36290.15431172834,,,,,0.022552798857283736,,,0.03242919736194402,,,0.025494006176952178,,,,0.028482098902951815,,,
"(5, 0, 0, 2, 0, 1)",36310.50764506168,452.993333333332,,36311.274311728346,,,,,,,,36310.17431172835,,,,,36310.07431172834,,0.03646451166728891,,,,,,,,0.017949368163631706,,,,,0.02695278230799537
"(6, 0, 1, 0, 1, 0)",36333.45431172835,475.93999999999505,,,,,,,,,,36333.45431172835,,,,,,,,,,,,,,,0.027952632958528,,,,,
"(4, 3, 0, 0, 0, 2)",36348.29431172834,490.77999999999156,,,,,,,,,,36348.29431172834,,,,,,,,,,,,,,,0.022437076902707395,,,,,
"(6, 1, 0, 0, 0, 0)",36381.194311728344,523.679999999993,36381.194311728344,,,,,,,,,,,,,,,0.02406949506386201,,,,,,,,,,,,,,
"(5, 3, 0, 0, 0, 2)",36428.11431172834,570.5999999999913,,,,,,,,,,36428.11431172834,,,,,,,,,,,,,,,0.016111343541155815,,,,,
"(7, 1, 0, 0, 0, 0)",36460.21431172835,602.6999999999971,,,,,,,,,,36460.21431172835,,,,,,,,,,,,,,,0.015669202085568365,,,,,
"(7, 2, 0, 0, 0, 0)",36503.274311728346,645.7599999999948,36503.274311728346,,,,,,,,,,,,,,,0.02807368233412642,,,,,,,,,,,,,,
"(6, 4, 0, 0, 0, 0)",36507.17431172835,649.6599999999962,,,,,,,,,,36507.17431172835,,,,,,,,,,,,,,,0.015050814554608537,,,,,
"(7, 2, 0, 0, 0, 1)",36524.31431172835,666.7999999999956,,,,,,,,,,36524.31431172835,,,,,,,,,,,,,,,0.023962530978535714,,,,,
