"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,mass std,masses nutlin_7hr,masses uv_7hr,masses xray-nutlin_7hr,masses xray_2hr,masses xray_7hr,rel. abundances nutlin_7hr,rel. abundances uv_7hr,rel. abundances xray-nutlin_7hr,rel. abundances xray_2hr,rel. abundances xray_7hr
,43773.2126654997,0.0,0.4099459785506239,43772.48244492816,43773.41191207233,43773.4492111532,43773.35852504421,43773.36123430058,0.17090882124102377,0.08711687761912154,0.13313008287864495,0.1444376155907959,0.05297899875987475
"[0, 0, 0, 1, 0, 0]",43789.46244492816,16.249779428464535,,43789.46244492816,,,,,0.017162833443663355,,,,
"[1, 0, 1, 0, 7, 4]",43828.5152227269,55.30255722720176,0.12163873403413608,,,43828.429211153205,,43828.601234300586,,,0.034207704732419277,,0.017053774394565558
"[0, 1, 0, 1, 0, 0]",43831.75762734824,58.54496184854361,0.5368310022179784,43831.52244492816,43832.37191207233,,43831.378525044216,,0.0703705297095323,0.02791112580221815,,0.035813077132051105,
"[0, 1, 0, 0, 0, 1]",43837.5292111532,64.31654565350618,,,,43837.5292111532,,,,,0.01911335058540976,,
"[1, 0, 0, 0, 0, 0]",43853.1646654997,79.95200000000477,0.8756404700787253,43853.46244492816,43852.351912072336,43854.4092111532,43852.298525044214,43853.30123430058,0.07411418573605125,0.10010436896912109,0.06634366846936375,0.16258902710724746,0.03313510489874279
"[1, 0, 1, 0, 0, 0]",43867.338525044215,94.12585954451788,,,,,43867.338525044215,,,,,0.04091037730518098,
"[1, 0, 0, 1, 0, 0]",43870.39717850025,97.18451300055312,1.4782299586501233,43871.442444928165,43869.351912072336,,,,0.02185124364490291,0.031924292548248856,,,
"[0, 0, 0, 0, 0, 5]",43882.30123430058,109.0885688008857,,,,,,43882.30123430058,,,,,0.014021527813239681
"[1, 1, 0, 1, 0, 0]",43911.395218558275,138.18255305857747,1.4378217563585967,,43912.41191207233,,43910.378525044216,,,0.03612072923106779,,0.051566512335776506,
"[0, 4, 0, 0, 1, 0]",43924.17852504421,150.9658595445144,,,,,43924.17852504421,,,,,0.025676540882876714,
"[1, 1, 2, 0, 0, 1]",43945.25852504421,172.04585954451613,,,,,43945.25852504421,,,,,0.027726645382290773,
"[1, 2, 1, 0, 0, 0]",43950.44120061357,177.22853511387075,0.45364603435928985,43950.222444928164,43950.19191207233,43950.2292111532,,43951.12123430058,0.12938886411506978,0.06588566350867751,0.13275200374302043,,0.08839314401655844
"[1, 0, 0, 1, 1, 5]",43960.249211153205,187.03654565350735,,,,43960.249211153205,,,,,0.02658118880997968,,
"[2, 0, 1, 1, 0, 0]",43963.262444928165,190.04977942846745,,43963.262444928165,,,,,0.027751378685949377,,,,
"[2, 1, 1, 1, 0, 0]",44005.298525044214,232.085859544517,,,,,44005.298525044214,,,,,0.03020319890352075,
"[3, 0, 0, 1, 1, 0]",44010.941200613575,237.72853511387802,0.5161539005465633,44011.262444928165,44010.171912072336,44011.209211153204,,44011.12123430058,0.07588380856232635,0.03762707218279882,0.09099744165293513,,0.10907278650081656
"[3, 0, 0, 1, 0, 0]",44028.5166654997,255.30400000000373,0.9656735104671912,44029.222444928164,44029.11191207234,44029.1692111532,44027.018525044215,44028.061234300585,0.13599532076122012,0.13498220953197804,0.20452767888673506,0.11705511065878912,0.13653855253437777
"[2, 2, 0, 0, 0, 1]",44039.21852504421,266.00585954451526,,,,,44039.21852504421,,,,,0.029196246916377233,
"[0, 5, 2, 2, 0, 0]",44044.222444928164,271.0097794284666,,44044.222444928164,,,,,0.03440554567395708,,,,
"[2, 2, 1, 1, 0, 0]",44047.42745250871,274.21478700901207,0.5492862294932046,,44047.131912072335,44047.0892111532,,44048.061234300585,,0.044338763240466116,0.03376490833593385,,0.034207454029810236
"[3, 1, 1, 1, 0, 0]",44085.07852504421,311.86585954451584,,,,,44085.07852504421,,,,,0.0633253308405573,
"[3, 1, 0, 2, 0, 0]",44087.67620061357,314.46353511387133,1.0776394940502074,44088.262444928165,44088.15191207233,44088.2292111532,,44086.061234300585,0.06438307995418956,0.07578696567394255,0.0916745180774898,,0.09256982006586223
"[2, 3, 0, 0, 0, 2]",44103.774068090985,330.56140259128733,1.25465818220706,44105.222444928164,,,44103.07852504421,44103.021234300584,0.056654568566025514,,,0.0288724312564472,0.027042411649934806
"[4, 0, 1, 0, 0, 0]",44107.11191207234,333.89924657264055,,,44107.11191207234,,,,,0.12017771569723132,,,
"[3, 2, 1, 0, 0, 0]",44112.13386809871,338.92120259901276,1.335946664125548,,,44111.1892111532,44113.07852504421,,,,0.06005036633530625,0.029553089104498463,
"[4, 1, 0, 0, 1, 0]",44117.201234300584,343.98856880088715,,,,,,44117.201234300584,,,,,0.033947400036577445
"[4, 0, 1, 1, 0, 0]",44123.05852504422,349.84585954451904,,,,,44123.05852504422,,,,,0.04461952801335942,
"[3, 2, 2, 0, 0, 0]",44126.07191207234,352.8592465726397,,,44126.07191207234,,,,,0.05511761155630234,,,
"[4, 0, 1, 0, 0, 1]",44129.704296793985,356.4916312942878,1.497507928205858,44128.10244492816,,44131.069211153204,,44129.94123430058,0.028731630823823226,,0.02609554995355155,,0.036058190794037055
"[4, 0, 1, 1, 0, 1]",44145.06657318646,371.85390768676007,1.4217638871868565,,44146.07191207234,,,44144.061234300585,,0.016582674555449796,,,0.021144404085022415
"[5, 0, 0, 0, 1, 0]",44154.98123430058,381.768568800886,,,,,,44154.98123430058,,,,,0.02620258275061068
"[0, 4, 14, 2, 0, 0]",44170.105218558274,396.8925530585766,0.018818212884044866,,44170.091912072334,,44170.118525044214,,,0.04708680457124644,,0.03810969135538853,
"[4, 1, 0, 0, 0, 2]",44179.241234300585,406.028568800888,,,,,,44179.241234300585,,,,,0.032960905074815035
"[5, 0, 1, 0, 0, 0]",44187.77762734824,414.5649618485404,1.181971320594238,44189.14244492816,44187.091912072334,,44187.09852504421,,0.016260096791325174,0.03884160867754687,,0.015921036170237202,
"[5, 0, 2, 0, 0, 0]",44200.99852504421,427.7858595445141,,,,,44200.99852504421,,,,,0.04283901148667815,
"[5, 0, 0, 2, 0, 0]",44204.99120061357,431.77853511387366,0.7511474608337411,44204.082444928164,44204.951912072334,44205.0092111532,,44205.921234300586,0.033097822811440844,0.0327149266525268,0.04450829660609229,,0.03371257859992369
"[4, 3, 0, 0, 0, 0]",44218.86123430058,445.64856880088337,,,,,,44218.86123430058,,,,,0.04717826623188885
"[6, 0, 1, 0, 0, 0]",44267.63763012731,494.4249646276148,1.1912746139378454,44267.04244492816,,44269.0092111532,,44266.86123430058,0.022272147570129203,,0.036253240933118096,,0.03236420898585337
"[6, 0, 1, 1, 0, 0]",44282.25406809099,509.04140259129053,1.6670429035808672,44284.082444928164,,,44280.81852504421,44281.86123430058,0.020768121909370142,,,0.01521913125904396,0.028306646423951098
"[5, 2, 1, 1, 0, 0]",44286.91191207233,513.6992465726362,,,44286.91191207233,,,,,0.031440786322732485,,,
"[6, 1, 0, 1, 1, 0]",44292.3698796724,519.1572141727011,0.7476174545058211,,,,44292.89852504421,44291.841234300584,,,,0.025718582909423388,0.026946179706455634
"[4, 5, 1, 0, 1, 0]",44300.14123430059,526.9285688008895,,,,,,44300.14123430059,,,,,0.02364576626275675
"[5, 4, 0, 0, 0, 0]",44341.94123430058,568.7285688008851,,,,,,44341.94123430058,,,,,0.02014942522849024
"[7, 0, 1, 1, 1, 0]",44344.93191207234,571.7192465726403,,,44344.93191207234,,,,,0.01623980365932347,,,
"[7, 0, 1, 1, 0, 0]",44363.478525044215,590.2658595445173,,,,,44363.478525044215,,,,,0.01562612318582321,
"[7, 0, 1, 0, 0, 1]",44368.881234300585,595.6685688008874,,,,,,44368.881234300585,,,,,0.032369871155834874
"[7, 2, 3, 1, 0, 0]",44476.03852504421,702.825859544515,,,,,44476.03852504421,,,,,0.015021692203636519,
