mass shift,pvalue nutlin_5,chi_score nutlin_5,pvalue nutlin_6,chi_score nutlin_6,pvalue uv_5,chi_score uv_5,pvalue uv_6,chi_score uv_6
120.69493186059117,0.9999999971325353,0.032498876786225706,0.999999997817552,0.030348446487688547,0.999999999849126,0.015538571872400384,0.9999999774035241,0.054570997582160226
136.20500829618686,0.9999983965926899,0.16006110915291552,,,,,,
180.27997651568148,,,0.9999998105532196,0.09321801852833889,,,0.9999999293377959,0.07270010020509247
200.69140962631354,0.9999995471131021,0.06250861387741646,0.9999999999915381,0.0075557555662001475,0.9999999999504471,0.011758736958524169,0.9999999922849457,0.04166066735120563
216.73777081156004,,,0.9999999558009605,0.06460112665880616,,,0.9999999833048924,0.050573798842346585
259.3124321426076,,,,,,,0.9999999651297478,0.060860902869285506
297.8287436433311,0.9999999952621536,0.03686196260359659,0.9999999997407027,0.017795286906120384,0.9999999987098923,0.026600775685683233,0.999999990495255,0.04390093991640279
309.94127397932607,,,0.999999986627654,0.0864324697603013,,,,
357.4146917133112,0.9999999889532206,0.04559014018209758,0.9999999872368563,0.04727423443922566,0.9999998285374403,0.09090126464892838,0.9999999998615859,0.015206812758856367
377.276275044067,0.999999977682931,0.0544005899865077,0.9999999933575574,0.07390161009449167,0.9999999994631764,0.02135344255374385,0.9999999998476005,0.015577766278245222
394.5519800216134,0.9999992877586835,0.1302841547804962,0.9999999999355937,0.026263474007267057,0.999999999256588,0.023168407724392576,0.9999999991641014,0.02385927251333198
435.6723575040087,,,0.9999999844592623,0.049671471312244496,0.9999999856333672,0.04870076028097208,0.9999998854584029,0.082108305107578
454.4723426169294,0.9999999128256666,0.07664902925787312,0.9999999995244132,0.020715229716917864,0.9999999995551853,0.020370990980563636,0.9999999959615083,0.03541401447994591
469.16700269699504,,,0.9999998845019079,0.08228060072512379,,,,
473.98683634864574,0.9999999951546404,0.03707009879603225,,,0.9999999988156669,0.02603645032349864,0.9999999080244609,0.07769137283414915
478.9923830403204,,,0.9999999746266585,0.05618445054344144,,,,
492.1729202609058,0.9999998729247914,0.08428609537031563,,,,,0.9999999498520353,0.06668692585821029
516.7372906550299,,,,,,,0.9999999990664261,0.024529294155717172
534.6837842536916,0.9999999704530591,0.05837743396021509,,,0.9999999911301731,0.043145419839038246,0.9999999937760261,0.03947421708527779
552.9464824643146,0.9999999862429789,0.048173167087502106,0.9999999819341734,0.05158657293174234,0.9999999997932463,0.016814202162958265,0.999999999906518,0.013783621966261995
569.522933193497,0.9999999843031934,0.0497963329333284,,,,,,
610.4378709044322,0.9999999959471811,0.03544549340295524,,,,,,
613.7858849956829,,,0.9999999975079932,0.03137490006474819,0.9999999978221334,0.030332458484131936,,
633.7253493515673,0.9999999883918252,0.04616127299365019,0.9999999651095399,0.06086977233989383,0.999999997729522,0.030650879639698817,0.9999999718762272,0.0576572625760269
652.4669158716788,0.99999985675373,0.08687076541237039,,,0.9999999929459745,0.04073432562504728,,
692.5606383681006,,,,,0.9999999998281036,0.016054494987749666,,
711.7796567111582,,,,,0.9999999991849456,0.02370876369379674,,
723.6191307871195,,,,,,,0.9999977043684454,0.17535277480086647
731.7517799314664,,,,,0.9999999994083257,0.02188031419298527,,
792.8878260201018,,,,,0.9999999998077339,0.01651107951144628,,
812.517466690042,,,,,0.9999999981009271,0.02930830797897996,,
