vertical_error,horizontal_error,basal_noise,all_detected_mass_shifts,simulated_mass_shifts,matching_mass_shifts,r_score_abundance,matching_ptm_patterns,mass_shift_deviation
0,0,0,7.0,7,7.0,0.9999787974988255,1.0,0.04468863856204301
0,0,1,7.0,7,7.0,0.9960305629807819,1.3,0.06269976075462028
0,1,0,7.0,7,7.0,0.999979021458865,1.0,0.04269556260858638
0,1,1,7.0,7,7.0,0.9964473923406596,1.6,0.05100198685532661
1,0,0,7.0,7,7.0,0.9974884826268722,1.2,0.07035385542559157
1,0,1,7.0,7,7.0,0.9946000715958878,1.2,0.08755725797012977
1,1,0,7.0,7,7.0,0.9983183057346601,1.3,0.06784794973466643
1,1,1,7.0,7,7.0,0.994349919814329,1.0,0.08239409850748766
