,mass mean,mass std,nutlin_7hr_rep1_ms1_01,nutlin_7hr_rep1_ms1_02,nutlin_7hr_rep2_ms1_01,uv_7hr_rep1_ms1_01,uv_7hr_rep1_ms1_02,uv_7hr_rep2_ms1_01,xray-nutlin_7hr_rep1_ms1_01,xray-nutlin_7hr_rep1_ms1_02,xray-nutlin_7hr_rep2_ms1_01,xray_2hr_rep1_ms1_01,xray_2hr_rep1_ms1_02,xray_7hr_rep1_ms1_01,xray_7hr_rep1_ms1_02,xray_7hr_rep2_ms1_01
0,9035.130719204906,0.4826790264215909,,9034.407854091156,,,9035.363530854751,9035.40834725522,,9035.3431446185,,,,,,
1,9038.405576259125,0.031505612198863504,,9038.427854091156,,,,,,,,,,,9038.383298427094,
2,9094.044566819985,0.7491425701805573,,9094.247854091156,,,9095.20353085475,,9093.221079188812,9094.1831446185,,,9093.208493739594,,9094.203298427094,
3,9098.565107673812,0.5357183252268869,,,,,9099.18353085475,,,,,,9098.268493739593,,9098.243298427094,
4,9102.208347255219,,,,,,,9102.208347255219,,,,,,,,
5,9105.590211268891,0.37012447944149235,,,9105.851928798187,,,,,,,,9105.328493739595,,,
6,9109.147854091156,,,9109.147854091156,,,,,,,,,,,,
7,9111.565939054984,0.7602696142499675,,,,,9112.10353085475,9111.028347255218,,,,,,,,
8,9115.004222092459,0.6364560702081977,,,,,,,9115.241079188812,,,,,,9114.283298427094,9115.488288661469
9,9121.28353085475,,,,,,9121.28353085475,,,,,,,,,
10,9133.267863897954,0.49197021186071754,9133.328247157562,9132.407854091156,9133.331928798187,,9133.34353085475,9133.348347255218,9132.421079188813,9134.3431446185,9133.29897225522,9133.314851161469,9133.328493739595,9133.364619227876,9133.383298427094,
11,9138.385514613617,0.7886908352985262,,,,9138.399289638031,,,,,,9139.354851161468,,9138.364619227876,9137.423298427093,
12,9142.299287806976,1.0212467255019768,,,,9142.639289638031,,,9142.361079188813,,,,9143.308493739594,,,9140.888288661468
13,9145.718754970063,0.7719878376295066,,,,,,9146.60834725522,,,,,,9145.224619227874,9145.323298427094,
14,9148.641079188812,,,,,,,,9148.641079188812,,,,,,,
15,9151.535821539715,0.6160574771728131,9150.608247157563,,9150.611928798187,9151.659289638032,9151.64353085475,,,9152.6431446185,,9151.714851161469,9151.648493739594,9151.644619227875,,9151.648288661469
16,9156.484663173187,1.1828708730832502,9155.648247157562,,,,,,9157.321079188812,,,,,,,
17,9158.025308518241,0.6183257882559959,,,,9158.739289638032,,9157.66834725522,,,,,,,,9157.668288661469
18,9162.768493739593,,,,,,,,,,,,9162.768493739593,,,
19,9189.394555751313,0.368315085740697,,,,9189.819289638031,,,9189.201079188813,,,,,,9189.163298427095,
20,9194.647729826469,0.7130450239399089,,,9195.151928798188,,9194.14353085475,,,,,,,,,
21,9197.718721604177,1.3771130982323516,9198.128247157563,,,,,,,,,,,9198.844619227875,9196.183298427095,
22,9204.621352626313,0.5748798847069727,,9205.027854091157,,,,,,,,9204.214851161469,,,,
23,9214.661672450531,0.9147434394247617,,,,,,,,,,9214.014851161468,9215.308493739594,,,
24,9218.271352626312,1.2777398820010615,,9217.367854091157,,,,,,,,9219.174851161468,,,,
25,9223.768100673187,0.7633266040280227,,9224.307854091156,,,,9223.228347255219,,,,,,,,
26,9231.238630254895,0.682438537805793,9231.288247157563,9231.367854091157,9232.331928798187,9231.319289638031,,9231.32834725522,9232.361079188813,9231.3231446185,9231.31897225522,,9231.308493739594,9230.304619227874,9230.343298427095,9230.26828866147
27,9233.315625251938,1.0124816643584558,,,,,9232.30353085475,,,,,9233.314851161469,9234.328493739595,,,
