mass shift,pvalue nutlin_only_rep5,chi_score nutlin_only_rep5,pvalue uv_7hr_rep5,chi_score uv_7hr_rep5,pvalue nutlin_only_rep6,chi_score nutlin_only_rep6,pvalue uv_7hr_rep6,chi_score uv_7hr_rep6
120.6950051067106,0.9999998611348718,0.044502786950229856,0.9999999855458513,0.023260541244335662,0.9999999550074442,0.032207035889030795,0.9999995917549175,0.06067006521349772
136.20657602571737,0.9999956877802499,0.059595510362429965,,,,,,
180.28007535959478,,,,,0.9999982301841057,0.09257929842823867,0.9999992470526441,0.07235908783285895
199.3611694208521,,,,,,,0.9999996828638635,0.056420098853380354
200.45380287234002,,,,,0.9999997464779855,0.0529034897960999,,
201.46396159540745,0.9999960812564926,0.1164928614006106,0.99999707521608,0.05231381977255478,,,,
216.0824325425856,,,,,,,0.9999994405564607,0.12255725084567279
217.33077279854479,,,,,0.9999988965908122,0.08078291316350174,,
259.31171845402423,,,,,,,0.9999989066477306,0.08056995337108769
297.84523547798017,0.9999999299241746,0.036571309459041516,0.9999999843405256,0.023800404072869912,0.9999999943698716,0.01775667735405477,0.9999997578770794,0.05220863276853832
310.2204946680504,,,,,0.99699207320851,0.33225499687568083,,
357.42805554961524,0.9999998571775358,0.044863303924098874,0.9999953198852874,0.1226384002707844,0.9999998664150618,0.04401019154590892,0.9999999754333752,0.027078155464793308
376.9817355315099,,,0.9999998858473179,0.042068160376671916,0.9999989491700787,0.07965385209225334,0.9999998410411532,0.046263779434117636
378.1550016507972,0.999998151919956,0.09374309263275186,,,,,,
393.73746068491164,,,,,0.9999992541627852,0.03309463690545458,0.9999998806831277,0.04260589163213708
395.3321611823776,0.9999943151363518,0.12974813422539214,0.9999999915129993,0.019970689204337505,,,,
435.6880947643731,,,0.9999982001885617,0.09302956208161109,0.9999998990124136,0.04061423160433622,0.9999922840196744,0.14177043548260232
453.56410758246784,0.9999755882463033,0.19825233358551486,,,0.9999999906296633,0.02054502842882256,,
455.56021269823395,,,0.9999999909051562,0.02037020825897186,,,0.9999999797777415,0.025609486077716556
472.2758215722497,,,,,,,0.9999990629231781,0.13966418644939604
473.86072152849374,0.999999990545083,0.04384303586370394,,,0.9999605620357316,0.056431849313632085,,
475.81184844192467,,,0.9999999405542417,0.0348855596974314,,,,
490.89009193130914,0.9999993514676436,0.03158188864407868,,,,,,
493.53224496266193,,,,,,,0.9990486929325822,0.023498544584292867
516.7393365889147,,,,,,,0.9999999803871714,0.02538593142592775
533.8032862214968,0.9999989984502465,0.07855865647219851,,,,,,
535.2023049359268,,,0.9999997829786456,0.05059218291181985,0.9997547947130327,0.009490697766763928,0.9999865780135349,0.16652112078728995
551.9698506397181,0.9999999264439482,0.03708339975663191,,,0.9999998860980521,0.042041615198281215,,
554.3463048737831,,,0.9999999376093665,0.03537274520968192,,,0.9999999952713533,0.016891496701646923
569.5233635003824,0.9999917948622964,0.144323005493608,,,,,,
610.4378781284249,0.9976871491664654,0.004631059208437534,,,,,,
613.7863948138329,,,0.9999999161023742,0.03850982452838982,0.9999998165288979,0.04820921157640103,,
633.3713541342004,0.9999816675570646,0.09699432031024458,,,0.999894261824353,0.029226384081826016,0.9999983356221948,0.09095231489510978
634.7865586820699,,,0.9999999504753916,0.03310570003023882,,,,
651.8687202724323,,,0.9999999164461285,0.03846448288647526,,,,
653.0619949830289,0.9982825378194257,0.03492011608558848,,,,,,
692.4753606289378,,,0.9999999991629281,0.010292005679700159,,,0.9334988458930562,0.0069628292785820466
711.7777348925156,,,0.9999998746235095,0.04321614347159771,,,,
723.6559851430575,,,,,,,0.9479315380162918,0.004264681246645717
731.751547201784,,,0.9999999771830815,0.026510845168538532,,,,
744.8055144515165,0.9227813744031879,0.009395573812781433,,,,,,
792.8878340222946,,,0.9999990960149467,0.035295232613741796,,,,
812.5174889030459,,,0.9999999076685325,0.03958302854946061,,,,
