vertical_error,horizontal_error,basal_noise,all_detected_mass_shifts,simulated_mass_shifts,matching_mass_shifts,r_score_abundance,matching_ptm_patterns,mass_shift_deviation
0,0,0,,7,7.0,0.9999787994941528,5.0,0.04468917372728592
0,0,1,,7,7.0,0.996664120123803,5.0,0.058056534707973506
0,1,0,,7,7.0,0.9999795660513758,5.0,0.04318324259033288
0,1,1,,7,7.0,0.9958600197389457,5.0,0.07686674638392293
1,0,0,,7,7.0,0.9967333733719567,5.0,0.07015343131365659
1,0,1,,7,7.0,0.9934078084888981,5.0,0.08161467826621936
1,1,0,,7,7.0,0.9974787851356327,5.0,0.06819250078331598
1,1,1,,7,7.0,0.9962033603169014,5.0,0.06908866511113035
