,mass mean,mass std,nutlin_7hr_rep1_ms1_01,nutlin_7hr_rep1_ms1_02,nutlin_7hr_rep2_ms1_01,uv_7hr_rep1_ms1_01,uv_7hr_rep1_ms1_02,uv_7hr_rep2_ms1_01,xray-nutlin_7hr_rep1_ms1_01,xray-nutlin_7hr_rep1_ms1_02,xray-nutlin_7hr_rep2_ms1_01,xray_2hr_rep1_ms1_01,xray_2hr_rep1_ms1_02,xray_7hr_rep1_ms1_01,xray_7hr_rep1_ms1_02,xray_7hr_rep2_ms1_01
0,12045.743298427093,,,,,,,,,,,,,,12045.743298427093,
1,12084.789235049344,0.43619467245035454,,12084.627854091155,,,12084.58353085475,12085.56834725522,,12084.5631446185,,,,,12084.603298427093,
2,12100.65585321964,0.26602447051272815,12100.548247157563,12100.627854091155,12100.551928798188,12100.61928963803,12100.56353085475,12100.58834725522,12100.641079188812,12100.5631446185,12100.578972255218,12101.57485116147,12100.568493739593,12100.584619227875,12100.603298427093,12100.568288661469
3,12105.60353085475,,,,,,12105.60353085475,,,,,,,,,
4,12113.677468762577,0.4915124473867508,12113.568247157564,12113.667854091156,12113.571928798188,12113.61928963803,12113.58353085475,12113.60834725522,12113.641079188812,12113.5831446185,12114.558972255218,,12113.588493739593,12112.584619227875,12113.623298427094,12114.608288661468
5,12121.863844081392,0.753931427706238,,12121.947854091157,,,,,12122.721079188814,12120.8831446185,,,,,12121.903298427094,
6,12128.694391839495,0.27586567202566253,12128.588247157562,12128.667854091156,12128.591928798189,12128.639289638031,12128.60353085475,12128.628347255219,12128.661079188812,12128.5831446185,12128.598972255219,,12128.608493739594,12128.624619227874,12128.623298427094,12129.608288661468
7,12135.782301784751,0.8465309405206042,,12136.687854091157,12134.611928798187,12135.679289638032,12134.623530854751,,12135.701079188813,12136.6431446185,,,,,12135.683298427095,12136.628288661468
8,12137.66353085475,,,,,,12137.66353085475,,,,,,,,,
9,12149.685973720703,1.2726665978018075,12150.768247157563,,,12150.839289638032,12147.82353085475,,,12148.803144618501,,12149.794851161469,12150.788493739594,12150.784619227874,12149.823298427094,12147.748288661469
10,12151.790548037625,0.05813619887575073,,12151.827854091156,12151.771928798189,,12151.783530854751,12151.708347255219,12151.861079188813,,,,,,,
11,12158.843298427095,,,,,,,,,,,,,,12158.843298427095,
12,12162.363958827485,0.7344571052449397,,,,,,,,,,,,12161.844619227875,12162.883298427094,
13,12191.863298427093,,,,,,,,,,,,,,12191.863298427093,
14,12198.291604358017,0.7770185068307809,12198.528247157563,,12198.531928798187,12198.59928963803,12198.56353085475,12198.56834725522,12197.601079188813,,12197.558972255218,12198.554851161469,12199.568493739593,12198.544619227876,,12196.588288661469
15,12207.27985523048,0.5652268147012861,,,12207.571928798188,12207.639289638031,,12206.628347255219,,,,,,,,
16,12212.58834725522,,,,,,,12212.58834725522,,,,,,,,
17,12217.58834725522,,,,,,,12217.58834725522,,,,,,,,
18,12221.064319228453,1.0303381467672967,12219.828247157562,12220.927854091156,12220.831928798187,12219.879289638031,12220.84353085475,,12221.921079188813,,,12219.874851161469,12221.848493739595,12222.824619227875,12221.863298427095,
19,12223.32569588803,0.7107148211586533,12223.828247157562,,,,,,,12222.8231446185,,,,,,
20,12228.593818446625,0.007737433087823105,,,,12228.59928963803,,12228.58834725522,,,,,,,,
21,12230.61485116147,,,,,,,,,,,12230.61485116147,,,,
22,12233.653818446626,1.4064761292839858,,,,12232.659289638032,,12234.648347255219,,,,,,,,
23,12245.288274013032,0.7302224056969373,,,12244.771928798189,,,,,,,,,12245.804619227874,,
24,12249.115577344195,0.497937402683925,,,12248.751928798189,12248.819289638031,,12248.76834725522,12248.821079188812,,,12248.77485116147,12248.768493739593,12249.764619227875,12249.783298427094,12249.788288661468
25,12297.528347255218,,,,,,,12297.528347255218,,,,,,,,
26,12317.809052821625,0.8126444464763938,12317.788247157563,,,,,,,,,12318.814851161469,12317.808493739594,12316.824619227875,,
27,12346.75485116147,,,,,,,,,,,12346.75485116147,,,,
28,12415.981628016938,0.4546840519376328,12415.768247157563,,12415.771928798189,,,,,,,12416.794851161469,12415.788493739594,12415.784619227874,,
29,12419.560136195647,0.5012313893436322,,,,12419.819289638031,,12418.808347255219,,,,,,12419.804619227874,,12419.808288661468
30,12447.775853219637,0.022591229140335005,12447.748247157564,12447.807854091156,12447.751928798189,12447.799289638031,12447.76353085475,12447.78834725522,12447.821079188812,12447.7431446185,12447.778972255219,12447.77485116147,12447.768493739593,12447.764619227875,12447.783298427094,12447.76828866147
31,12514.425158778657,0.5065331214959002,12514.728247157564,,12514.751928798189,12514.77928963803,,12514.74834725522,,,,12513.77485116147,,,,12513.76828866147
32,12531.808288661468,,,,,,,,,,,,,,,12531.808288661468
33,12545.58566587796,0.3725322198746625,12545.708247157563,12544.747854091156,12545.711928798188,12545.75928963803,12545.723530854752,12544.74834725522,12545.801079188812,12545.7231446185,12545.71897225522,12545.75485116147,12545.728493739594,12545.744619227875,12545.743298427093,
34,12611.75485116147,,,,,,,,,,,12611.75485116147,,,,
35,12644.71707039975,0.0031384768754298582,,,,12644.719289638031,,,,,,12644.714851161469,,,,
36,12650.723622608728,0.8255929131890616,12649.688247157563,12651.767854091157,12650.711928798188,12649.739289638032,12650.703530854751,12649.728347255219,12651.781079188811,12651.7031446185,12649.71897225522,,12650.708493739594,12650.724619227876,12650.723298427094,12651.70828866147
37,12676.134827419515,0.3520843289668519,,12676.047854091157,12675.971928798188,12676.019289638032,12677.00353085475,,12676.041079188813,12675.9831446185,,,12675.988493739595,,12676.023298427095,
38,12691.558166636072,0.5026400419249015,12691.968247157562,12692.047854091157,12691.971928798188,12691.039289638033,12691.00353085475,12692.008347255218,12691.081079188813,12691.0031446185,,,12691.988493739595,12691.984619227875,12691.043298427094,
39,12704.725158583922,0.8346305450872777,,12705.107854091157,12703.971928798188,12704.019289638032,12705.00353085475,12705.008347255218,12705.061079188814,12705.0031446185,,,12705.008493739595,12703.024619227876,12706.043298427094,
40,12710.694851161468,,,,,,,,,,,12710.694851161468,,,,
41,12714.968347255219,,,,,,,12714.968347255219,,,,,,,,
42,12721.035939054986,0.017547845055491933,,,,,12721.02353085475,12721.048347255219,,,,,,,,
43,12729.98834725522,,,,,,,12729.98834725522,,,,,,,,
44,12742.674851161468,,,,,,,,,,,12742.674851161468,,,,
45,12748.827968139707,0.686065572048345,12748.648247157562,,12749.651928798186,12748.739289638032,,12748.708347255219,,,,12747.674851161468,12749.688493739595,12748.684619227875,,
46,12761.008347255218,,,,,,,12761.008347255218,,,,,,,,
47,12773.81542822949,0.739288629870237,12773.948247157563,,12773.951928798188,12774.019289638032,12772.963530854751,,12773.041079188813,,,,12774.968493739594,,,
48,12775.956483241547,0.01677824903853386,,,,,,12775.968347255219,,,,,,12775.944619227876,,
49,12779.98834725522,,,,,,,12779.98834725522,,,,,,,,
50,12788.986709669054,0.4885605272955581,12788.948247157563,,12788.971928798188,12788.999289638032,12788.98353085475,12788.98834725522,12789.061079188814,,,12789.95485116147,12788.968493739594,12788.004619227875,,
51,12802.568184100353,0.7829147970038749,,,12802.971928798188,12803.019289638032,12802.98353085475,12802.98834725522,12802.041079188813,,,,12802.988493739595,12800.984619227875,,
52,12808.694851161468,,,,,,,,,,,12808.694851161468,,,,
53,12818.543818446626,0.7135114837201916,,,,12818.039289638033,,12819.048347255219,,,,,,,,
54,12827.434809108969,0.7341246653619217,,12828.107854091157,12828.011928798187,12827.059289638031,12828.043530854751,12827.048347255219,12827.121079188812,12828.023144618499,,,,,12826.063298427094,
55,12834.187854091157,,,12834.187854091157,,,,,,,,,,,,
56,12836.39226530535,0.43084271772856225,12836.168247157562,12837.267854091157,,,,,12836.281079188811,,,,12836.188493739595,12836.204619227876,12836.243298427093,
57,12840.65485116147,,,,,,,,,,,12840.65485116147,,,,
58,12847.06834725522,,,,,,,12847.06834725522,,,,,,,,
59,12855.413244067042,0.6189169979463114,,12856.127854091155,,,12855.06353085475,12855.048347255219,,,,,,,,
60,12873.451599208345,0.711705737400227,,,,,,12872.94834725522,,,,12873.95485116147,,,,
61,12886.463818446626,0.7572706211464896,,,,12886.999289638032,,12885.92834725522,,,,,,,,
62,12887.974851161469,,,,,,,,,,,12887.974851161469,,,,
63,12901.526728114595,0.7191527156826519,,12901.387854091157,,12901.979289638031,,12901.98834725522,,,,12901.95485116147,,,12900.323298427094,
64,12926.98834725522,,,,,,,12926.98834725522,,,,,,,,
65,12998.651673671236,0.6626575921567627,12998.348247157563,,12999.331928798187,12998.379289638033,,12997.32834725522,12999.421079188813,12998.363144618499,,,12998.388493739594,12999.364619227876,12998.423298427093,12999.168288661469
66,13002.211233486652,0.38558516246098795,,13001.427854091156,,,13002.34353085475,,13002.441079188813,13002.3431446185,,,13002.348493739595,,13002.363298427095,
117,13006.424619227875,,,,,,,,,,,,,13006.424619227875,,
67,13009.28834725522,,,,,,,13009.28834725522,,,,,,,,
68,13012.447854091157,,,13012.447854091157,,,,,,,,,,,,
69,13062.733818446624,0.7148442142756568,,,,13063.239289638032,,13062.228347255219,,,,,,,,
70,13098.861963588228,1.241717748087242,,,13100.311928798188,13097.419289638032,,13099.32834725522,,,,,,,,13098.38828866147
71,13101.374851161469,,,,,,,,,,,13101.374851161469,,,,
72,13157.423221522797,0.028393030346901497,,,,,,,,13157.4031446185,,,,,13157.443298427093,
73,13160.228347255219,,,,,,,13160.228347255219,,,,,,,,
74,13194.314851161469,,,,,,,,,,,13194.314851161469,,,,
75,13220.243621181524,0.5962236125071884,13220.388247157563,13220.467854091155,13221.391928798188,13219.43928963803,13219.40353085475,13220.42834725522,13220.461079188812,13220.4031446185,,,13220.408493739593,13219.444619227876,13220.443298427093,
76,13247.361079188813,,,,,,,,13247.361079188813,,,,,,,
77,13249.611432378917,0.5827519360608817,,13249.307854091156,,,,,,13249.2431446185,,,,,13250.283298427094,
78,13254.303298427094,,,,,,,,,,,,,,13254.303298427094,
79,13258.43785083595,1.048551832517373,,13258.407854091158,,,,,13259.501079188813,,,,,13257.404619227877,,
80,13282.268493739593,,,,,,,,,,,,13282.268493739593,,,
81,13318.082588954883,0.4906021378892432,13318.368247157563,13318.427854091156,13318.351928798187,13318.419289638032,13318.383530854751,13317.388347255219,13318.421079188813,13317.363144618499,13317.37897225522,13317.374851161469,13318.388493739594,13318.384619227876,13318.423298427093,
82,13359.14009347104,1.232494046509786,,,,,,,,,13359.358972255219,,13360.368493739594,13359.404619227877,,13357.42828866147
83,13361.0585244477,0.8859589424256012,13359.348247157563,13362.447854091157,13361.371928798188,13361.419289638032,13361.363530854751,13360.388347255219,13361.421079188813,13361.363144618499,,,,,13360.403298427094,
84,13375.89471595697,0.973218221799985,13375.388247157563,13376.447854091157,13376.371928798188,13375.399289638031,13374.383530854751,,13376.421079188813,13376.3831446185,13374.398972255218,,13377.388493739594,13376.364619227876,,
85,13376.895822841157,0.6965347061666893,,,,,,13377.388347255219,,,,,,,13376.403298427094,
86,13386.388347255219,,,,,,,13386.388347255219,,,,,,,,
87,13390.150893908798,0.7788299093393606,13390.408247157564,13390.467854091155,13391.391928798188,13389.43928963803,13389.40353085475,13391.388347255219,13390.481079188812,13389.4031446185,,,13390.408493739593,13389.424619227875,13389.443298427093,
88,13395.35590975811,1.3751514328953944,,,,,13394.383530854751,,,,,,,,,13396.328288661469
89,13397.368347255218,,,,,,,13397.368347255218,,,,,,,,
90,13404.788919131377,0.5375648576595314,,,,,13405.363530854751,13404.348347255218,13404.461079188812,13404.3831446185,,,13405.388493739594,,,
91,13416.79368242542,0.524422362415792,13417.328247157562,,13416.351928798187,13416.399289638031,,13416.368347255218,,,,13416.374851161469,13417.388493739594,13417.344619227875,,
92,13419.525692472955,0.0313412610274206,,13419.547854091157,,,13419.50353085475,,,,,,,,,
93,13422.46560921811,0.019347035392526152,,,13422.451928798188,13422.479289638031,,,,,,,,,,
94,13437.263298427093,,,,,,,,,,,,,,13437.263298427093,
95,13452.343818446625,1.3512403173432923,,,,13453.299289638031,,13451.388347255219,,,,,,,,
96,13457.94530212408,0.9567904231507357,,13458.407854091158,13458.351928798187,,,,13456.401079188814,,,13457.354851161468,13459.348493739595,13458.324619227875,,13457.42828866147
97,13460.360125819672,0.8152740294049081,13460.328247157562,,,13460.379289638033,,13459.368347255218,,,,,,13461.364619227876,,
98,13462.716092209646,0.5514499418173522,,13462.427854091156,13463.351928798187,,,,,,,,13462.368493739594,,,
99,13468.863818446625,0.7289863499009827,,,,13469.379289638033,,13468.348347255218,,,,,,,,
