"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",amount of PTMs,mass error (Da),mass shift
"[0, 0, 0, 1, 0, 0]",1,0.40339999999499376,15.596000000005006
"[0, 0, 0, 2, 1, 0]",3,1.6125000000050065,15.596000000005006
"[0, 0, 1, 1, 2, 1]",5,0.381199999994994,15.596000000005006
"[0, 1, 2, 0, 3, 0]",6,0.4479999999949946,15.596000000005006
"[0, 1, 0, 0, 4, 2]",7,1.6569000000049954,15.596000000005006
"[0, 0, 0, 1, 0, 2]",3,0.284872624109731,60.24787262410973
"[0, 0, 2, 2, 0, 0]",4,0.19587262410973239,60.24787262410973
"[0, 1, 1, 0, 1, 1]",4,0.21807262410972328,60.24787262410973
"[0, 0, 4, 0, 1, 1]",6,0.1749726241097278,60.24787262410973
"[0, 0, 0, 2, 2, 3]",7,1.6657273758902704,60.24787262410973
"[1, 0, 0, 0, 0, 0]",1,0.5032963216014679,79.47660367839853
"[1, 0, 0, 1, 1, 0]",3,1.5126036783985342,79.47660367839853
"[0, 0, 1, 0, 0, 3]",4,0.4953963216014756,79.47660367839853
"[1, 0, 1, 0, 2, 1]",5,0.48109632160146987,79.47660367839853
"[0, 0, 4, 0, 0, 1]",5,1.3884036783985323,79.47660367839853
"[0, 0, 0, 1, 0, 3]",4,0.008785286406450155,81.95358528640645
"[0, 2, 0, 1, 1, 0]",4,0.10391471359355364,81.95358528640645
"[0, 1, 1, 0, 1, 2]",5,0.05801471359356469,81.95358528640645
"[0, 1, 3, 1, 1, 0]",6,0.14701471359354912,81.95358528640645
"[0, 1, 0, 2, 2, 2]",7,0.014914713593555007,81.95358528640645
"[1, 0, 0, 1, 0, 0]",2,0.7020997076624838,95.27720029233751
"[1, 0, 0, 2, 1, 0]",4,1.313800292337504,95.27720029233751
"[0, 0, 1, 1, 0, 3]",5,0.6941997076624915,95.27720029233751
"[1, 0, 1, 1, 2, 1]",6,0.6798997076624858,95.27720029233751
"[0, 0, 0, 3, 1, 3]",7,0.651099707662496,95.27720029233751
"[0, 2, 1, 0, 0, 0]",3,0.09580043850438358,98.00419956149562
