width error,horizontal error (Da),vertical error (rel.),basal noise (a.u.),is_signal,peak width error,peak width
0.3037431485707778,-0.4470000000023282,0.0606764829674612,0.012982099292529099,False,0.3037431485707778,0.3037431485707778
0.5999999028869368,-0.28699999999883574,0.15215297804160532,0.020351304738246208,False,0.5999999028869368,0.5999999028869368
0.5999999998954749,-0.006999999999999895,0.1421501603615259,0.023193070792080578,False,0.5999999998954749,0.5999999998954749
0.599999726796588,-0.02700000000407443,0.2244100841948689,0.034742011374597814,False,0.599999726796588,0.599999726796588
0.16707081148528907,-0.006999999999999895,0.22051861361517533,0.005775170867719801,False,0.16707081148528907,0.16707081148528907
0.5999998783902256,-0.6069999999985447,0.6155951121302582,0.037697066880215166,False,0.5999998783902256,0.5999998783902256
0.5999999668097544,-0.32699999999970886,1.0544513429179065,0.0442885004961233,False,0.5999999668097544,0.5999999668097544
0.2258041125456889,0.21300000000116426,0.48466950375035195,0.014634762763313103,False,0.2258041125456889,0.22580411254568894
0.25701083251069223,-0.026999999996798474,1.1125990774449421,0.013295253371826523,False,0.25701083251069223,0.25701083251069223
0.20583708232036224,0.012999999996798683,1.2185446846793713,0.01284621984872462,False,0.20583708232036224,0.20583708232036224
0.2377992669686754,0.11300000000261945,0.85054248647752,0.008261945591619739,False,0.2377992669686754,0.2377992669686754
0.2003210476847168,0.0529999999976718,1.0494188959235613,0.006206304302353292,False,0.2003210476847168,0.20032104768471676
0.2538195078512736,0.07300000000174633,0.6391431753216185,0.0053984478718905535,True,0.2538195078512736,0.2538195078512736
0.3344622038262549,0.11299999999534349,0.693778419541168,0.011002734465091254,True,0.3344622038262549,0.3344622038262549
0.59999999998606,-0.06699999999767159,0.9479473660680389,0.010911634333175586,True,0.59999999998606,0.59999999998606
0.5999999972346504,0.07300000000174633,0.8645028325913146,0.014886017793260155,True,0.5999999972346504,0.5999999972346504
0.5999999952275604,-0.14699999999941782,1.8043813568578262,0.006039045271097371,False,0.5999999952275604,0.5999999952275604
0.5999999845230811,0.11299999999534349,1.0867872332581021,0.018306061731112537,True,0.5999999845230811,0.5999999845230811
0.5999999783203301,-0.1069999999985447,1.8389268655694726,0.006433451224676752,False,0.5999999783203301,0.5999999783203301
0.3888093101698947,0.03300000000087322,0.975603667841925,0.011978954174468337,True,0.3888093101698947,0.3888093101698947
0.24261687314188154,-0.06699999999767159,0.7014066326584629,0.03626581556159591,True,0.24261687314188154,0.24261687314188154
0.20910128384387333,0.11299999999534349,0.7602610277080751,0.03644246399689581,True,0.20910128384387333,0.20910128384387333
0.3077837972688669,-0.06699999999767159,0.6982392482062667,0.021793981211345455,True,0.3077837972688669,0.30778379726886695
0.5999999999529999,0.23299999999796284,0.9275515570421001,0.006810259993137805,False,0.5999999999529999,0.5999999999529999
0.5999999999988096,-0.1069999999985447,1.1537166213621088,0.018522951326327516,False,0.5999999999988096,0.5999999999988096
0.19128000758990327,0.15300000000349256,0.5736399463044312,0.007485631896551459,False,0.19128000758990332,0.19128000758990335
0.22564292040894365,0.03300000000087322,0.4537270565318798,0.01131334775509966,False,0.22564292040894365,0.22564292040894363
0.5999999893305235,-0.5670000000049475,0.4612598137305367,0.033510565902248816,False,0.5999999893305235,0.5999999893305235
0.5999999995831881,-0.32699999999970886,0.5482603977712586,0.010033807228843512,False,0.5999999995831881,0.5999999995831881
0.5999999999931587,-0.18700000000029093,0.5817740524545297,0.018023227977254183,False,0.5999999999931587,0.5999999999931587
0.5999999870364873,-0.26700000000203716,0.6052589072895024,0.00591459817947625,False,0.5999999870364873,0.5999999870364873
0.35698308768673565,0.2330000000052388,0.16696943142372467,0.024886997496657962,False,0.35698308768673565,0.35698308768673565
0.5999999888450958,-0.14699999999941782,0.07190355681388551,0.011748108232422172,False,0.5999999888450958,0.5999999888450958
0.5999999999378455,-0.36700000000058197,0.03273883969222354,0.012952129255320619,False,0.5999999999378455,0.5999999999378455
0.5999999927723717,-0.3870000000046565,0.0319999520793663,0.006711872786370321,False,0.5999999927723717,0.5999999927723717
0.5999999999999277,-0.5269999999967985,0.03155994028830929,0.006729074697612005,False,0.5999999999999277,0.5999999999999277
0.5999999426874179,-0.9669999999991268,0.025696796986486567,0.0001903383546423421,False,0.5999999426874179,0.5999999426874179
0.599999918877671,-0.6270000000026192,0.025154500651598456,0.041043900577873854,False,0.599999918877671,0.599999918877671
0.5999999710848445,0.03300000000087322,0.016063315491189275,0.011028385880278739,False,0.5999999710848445,0.5999999710848445
0.5999999930817251,0.4730000000032015,0.009831930926588659,0.020535767480169654,False,0.5999999930817251,0.5999999930817251
0.3731092915870135,-0.5270000000040744,0.0030695020647104375,0.009068463249255969,False,0.3731092915870135,0.37310929158701345
0.5999999996328441,-0.7069999999970895,0.003173897222831262,0.011400460359349275,False,0.5999999996328441,0.5999999996328441
0.5999999902878023,-0.4669999999991268,0.0026720974906591297,0.005622482987124441,False,0.5999999902878023,0.5999999902878023
0.3444227094445476,-0.18700000000029093,0.0008466783825454578,0.013315115434271418,True,0.3444227094445476,0.3444227094445476
0.599999999978062,0.19299999999708972,0.000633104785726064,0.024919996567367278,False,0.599999999978062,0.599999999978062
0.2408060483183525,0.07300000000174633,0.00014726386865079042,0.030896671939352267,True,0.2408060483183525,0.24080604831835253
0.5999999999999434,-0.4870000000032013,9.530148651926326e-05,0.027473065138332566,False,0.5999999999999434,0.5999999999999434
0.5999999996545108,-0.5869999999944702,0.0001151683486038471,0.009982756318086435,False,0.5999999996545108,0.5999999996545108
