"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,mass std,masses nutlin_7hr,masses uv_7hr,masses xray-nutlin_7hr,masses xray_2hr,masses xray_7hr,rel. abundances nutlin_7hr,rel. abundances uv_7hr,rel. abundances xray-nutlin_7hr,rel. abundances xray_2hr,rel. abundances xray_7hr
"[4, 0, 1, 0, 1, 0]",44085.68052931988,315.23230645167496,1.1592747873360694,,44084.343036704784,44086.396743100246,44086.30180815461,,,0.015224819946096186,0.016662641649417418,0.01792569944082668,
"[2, 3, 0, 0, 0, 2]",44101.18180815461,330.7335852864053,,,,,44101.18180815461,,,,,0.02730587062128924,
"[4, 0, 0, 1, 0, 0]",44105.679826546606,335.2316036784032,1.332795621497365,44104.02279400959,44105.26303670478,44106.356743100245,,44107.0767323718,0.022630284557322144,0.03794144559508251,0.05505707054691266,,0.01671197281561535
"[4, 0, 0, 2, 0, 0]",44123.388222868205,352.9400000000023,1.3790057791991228,44122.082794009584,44122.22303670478,44125.316743100244,44124.24180815461,44123.0767323718,0.024701677415691785,0.02680484172671107,0.03197492529387067,0.02391104073947452,0.024587790633532836
"[4, 1, 0, 0, 0, 0]",44131.28303670478,360.83481383657636,,,44131.28303670478,,,,,0.01625568136471245,,,
"[4, 0, 1, 1, 0, 1]",44142.22180815461,371.77358528640616,,,,,44142.22180815461,,,,,0.023003303878799702,
"[4, 0, 0, 1, 0, 2]",44150.34242242969,379.89419956148777,0.057437258649035663,,44150.38303670478,,44150.30180815461,,,0.013368437729840435,,0.018983643541563077,
"[4, 1, 2, 0, 0, 0]",44161.24180815461,390.79358528641023,,,,,44161.24180815461,,,,,0.022555771589725417,
"[5, 0, 0, 1, 1, 0]",44167.93927562743,397.4910527592292,0.7672568579702246,,,44167.396743100246,44168.48180815461,,,,0.018090493432242737,0.008720091285384274,
"[5, 0, 1, 0, 0, 0]",44184.76673773602,414.3185148678167,0.6081042456710788,,,44184.33674310024,,44185.196732371805,,,0.030330452040158773,,0.023865761722871505
"[4, 2, 1, 0, 0, 0]",44189.36180815461,418.9135852864056,,,,,44189.36180815461,,,,,0.01560508235784975,
"[5, 0, 2, 0, 0, 0]",44199.00279400959,428.554571141387,,44199.00279400959,,,,,0.022649024974606063,,,,
"[5, 0, 0, 2, 0, 0]",44203.169270263206,432.72104739500355,1.3116294925598182,,,,44202.24180815461,44204.0967323718,,,,0.020176660656347597,0.017885099354858543
"[5, 0, 1, 0, 0, 1]",44205.74988990251,435.30166703430586,0.6408463535093173,,44206.20303670478,44205.29674310025,,,,0.03465369922736,0.041354047317415606,,
"[5, 0, 2, 0, 0, 1]",44219.48921295633,449.0409900881277,1.5238608224844465,44218.982794009586,44218.28303670478,,44221.20180815461,,0.015512931107329415,0.01491693608257104,,0.022668361361708453,
"[5, 1, 0, 0, 0, 1]",44235.14180815461,464.6935852864044,,,,,44235.14180815461,,,,,0.018387046823835403,
"[5, 1, 0, 2, 0, 0]",44244.24180815461,473.79358528641023,,,,,44244.24180815461,,,,,0.018472680541568712,
"[4, 3, 1, 0, 0, 1]",44253.0567323718,482.608509503596,,,,,,44253.0567323718,,,,,0.019270322508024726
"[4, 4, 0, 0, 0, 0]",44258.281808154614,487.8335852864111,,,,,44258.281808154614,,,,,0.017753872807004707,
"[6, 0, 1, 0, 0, 0]",44264.27674310024,493.8285202320403,,,,44264.27674310024,,,,,0.01630852732855644,,
"[6, 0, 0, 0, 0, 1]",44271.20303670478,500.7548138365746,,,44271.20303670478,,,,,0.012503363688740199,,,
"[5, 2, 0, 0, 0, 1]",44276.16180815461,505.7135852864085,,,,,44276.16180815461,,,,,0.013835519727705855,
"[6, 0, 1, 1, 0, 0]",44279.61988453829,509.1716616700869,0.6832803465389172,,44280.10303670478,,,44279.1367323718,,0.01449470201171795,,,0.019124422645545452
"[6, 0, 0, 2, 0, 0]",44282.902794009584,512.4545711413812,,44282.902794009584,,,,,0.017070374340363525,,,,
"[5, 2, 0, 0, 0, 2]",44298.5524224297,528.1041995614942,0.8918232604493675,,44299.18303670478,,44297.92180815461,,,0.01884399331669868,,0.020574911214160045,
"[7, 0, 0, 0, 1, 0]",44313.14180815461,542.6935852864044,,,,,44313.14180815461,,,,,0.01860312728773263,
"[6, 1, 1, 1, 0, 0]",44323.20303670478,552.7548138365746,,,44323.20303670478,,,,,0.01270679959829318,,,
"[7, 0, 1, 0, 1, 0]",44326.24180815461,555.7935852864102,,,,,44326.24180815461,,,,,0.009094328250315567,
"[7, 0, 0, 1, 0, 0]",44346.10180815461,575.6535852864108,,,,,44346.10180815461,,,,,0.015086223041078513,
"[7, 0, 0, 3, 0, 0]",44378.18180815461,607.7335852864053,,,,,44378.18180815461,,,,,0.015097064846689557,
"[7, 0, 0, 0, 0, 3]",44396.00180815461,625.553585286405,,,,,44396.00180815461,,,,,0.011978179190179768,
"[8, 0, 1, 1, 1, 0]",44422.02180815461,651.5735852864091,,,,,44422.02180815461,,,,,0.007569685465605675,
"[8, 0, 1, 1, 0, 1]",44462.00180815461,691.553585286405,,,,,44462.00180815461,,,,,0.008663475146258696,
"[8, 1, 2, 0, 0, 0]",44481.06180815461,710.61358528641,,,,,44481.06180815461,,,,,0.010820645427579115,
"[8, 2, 0, 0, 0, 0]",44495.06180815461,724.61358528641,,,,,44495.06180815461,,,,,0.010781710933212939,
"[7, 5, 0, 0, 0, 0]",44541.04180815461,770.5935852864059,,,,,44541.04180815461,,,,,0.00757056572213972,
