,mass mean,mass std,nutlin_7hr_rep1_ms1_01,nutlin_7hr_rep1_ms1_02,nutlin_7hr_rep2_ms1_01,uv_7hr_rep1_ms1_01,uv_7hr_rep1_ms1_02,uv_7hr_rep2_ms1_01,xray-nutlin_7hr_rep1_ms1_01,xray-nutlin_7hr_rep1_ms1_02,xray-nutlin_7hr_rep2_ms1_01,xray_2hr_rep1_ms1_01,xray_2hr_rep1_ms1_02,xray_7hr_rep1_ms1_01,xray_7hr_rep1_ms1_02,xray_7hr_rep2_ms1_01
0,11236.728347255219,,,,,,,11236.728347255219,,,,,,,,
1,11277.73998481789,0.5103799668404003,11277.348247157563,11277.407854091156,11277.351928798187,11278.379289638031,11278.363530854751,11278.368347255218,11278.421079188813,11277.363144618499,,,11277.368493739594,11277.364619227876,11277.403298427094,
2,11291.489075726979,0.31229842648916123,11291.368247157563,11292.427854091156,11291.371928798188,11291.43928963803,11291.38353085475,11291.388347255219,11291.441079188813,11291.3831446185,,,11291.388493739594,11291.384619227876,11291.403298427094,
3,11305.495912197106,0.5110718466237862,11305.388247157563,,11305.391928798188,11305.43928963803,11306.40353085475,11305.40834725522,11305.461079188812,,11305.398972255218,11305.41485116147,11305.408493739593,11305.404619227875,11304.423298427093,11306.408288661469
4,11320.227257545163,0.4167074638463995,11319.368247157563,11320.447854091157,11320.371928798188,11320.43928963803,11320.40353085475,11320.40834725522,11320.461079188812,11320.3831446185,,,11320.388493739594,11319.404619227875,11320.423298427093,
5,11333.233223150399,0.422326838574623,,11333.427854091156,11332.371928798188,,,,,11333.3831446185,,,11333.388493739594,11333.404619227875,11333.423298427093,
6,11348.205853219637,0.4315549518557688,11348.388247157563,11348.447854091157,11348.391928798188,11348.43928963803,11348.40353085475,11348.42834725522,11348.461079188812,11348.4031446185,11347.398972255218,11348.43485116147,11348.408493739593,11347.404619227875,11348.443298427093,11347.42828866147
7,11362.77741056902,0.5809283378954295,,11363.447854091157,,,,,11362.461079188812,,,,,,11362.423298427093,
8,11375.856223679853,0.5258273819300021,11375.328247157562,11376.407854091156,11376.331928798187,11376.379289638031,11376.34353085475,11376.348347255218,11375.401079188812,11376.3431446185,,11375.354851161468,11375.328493739595,11375.344619227875,11375.363298427093,
9,11389.224127416423,0.36715628351272017,11389.348247157563,11389.427854091156,11389.351928798187,11389.379289638031,11389.34353085475,11389.368347255218,11389.421079188813,11389.363144618499,11389.37897225522,11388.374851161469,11389.368493739594,11389.364619227876,11388.423298427093,
37,11394.364619227876,,,,,,,,,,,,,11394.364619227876,,
10,11403.881567505354,0.512814013445314,11404.348247157563,11403.427854091156,11404.351928798187,11404.399289638031,11403.363530854751,11403.368347255218,11403.421079188813,11403.363144618499,11404.37897225522,11404.394851161469,11404.368493739594,11404.384619227876,11403.403298427094,11403.36828866147
11,11418.286503594521,0.5344947249733305,11418.348247157563,11418.407854091156,11419.351928798187,11418.399289638031,11418.363530854751,11418.368347255218,11418.421079188813,,,11417.374851161469,11418.368493739594,11418.364619227876,11417.383298427094,
12,11431.350087977875,0.0026033130515206865,11431.348247157563,,11431.351928798187,,,,,,,,,,,
13,11446.388710362497,0.0227039925332419,11446.368247157563,11446.427854091156,11446.371928798188,11446.399289638031,11446.38353085475,11446.388347255219,11446.441079188813,11446.363144618499,11446.37897225522,11446.374851161469,11446.388493739594,11446.384619227876,11446.403298427094,11446.36828866147
14,11474.154547206394,0.4070063466683604,11474.288247157563,,11474.311928798188,11474.339289638032,,11474.32834725522,,,,11474.334851161468,,11473.324619227875,,
15,11487.336539568278,0.014022231682470859,11487.308247157562,,11487.331928798187,11487.339289638032,,11487.348347255218,,,,11487.334851161468,11487.348493739595,11487.344619227875,,
16,11502.196430601518,0.3871704299193219,11501.308247157562,11502.407854091156,11502.331928798187,11502.379289638031,11502.32353085475,,11502.401079188812,11502.3231446185,11502.33897225522,11502.354851161468,11502.348493739595,11501.344619227875,11502.363298427093,11502.328288661469
17,11515.837880539724,0.5415536306293927,11515.308247157562,,11516.311928798188,11515.379289638031,,11516.348347255218,,,,11516.334851161468,,11515.344619227875,,
18,11544.152411708345,0.4251039316168685,11544.328247157562,,11544.331928798187,11544.379289638031,,11543.348347255218,11544.381079188814,,11544.358972255219,11544.354851161468,11544.348493739595,11543.344619227875,,11544.34828866147
19,11572.614162684908,0.5761692564610421,,,,11573.27928963803,,11572.26834725522,,,,11572.294851161469,,,,
20,11585.294851161469,,,,,,,,,,,11585.294851161469,,,,
21,11600.183008204925,0.35375702201204007,11600.288247157563,,11600.291928798188,11600.339289638032,,11599.308347255219,,,,11600.314851161469,11600.308493739594,11600.304619227874,,11600.308288661468
22,11614.314851161469,,,,,,,,,,,11614.314851161469,,,,
23,11642.321599208344,0.009543179410360177,,,,,,11642.32834725522,,,,11642.314851161469,,,,
24,11668.25485116147,,,,,,,,,,,11668.25485116147,,,,
25,11685.581253200766,0.7245723457180359,,11686.367854091157,11685.291928798188,11685.359289638032,11685.32353085475,11684.32834725522,11686.401079188812,11686.303144618501,,11685.27485116147,,,,
26,11698.27485116147,,,,,,,,,,,11698.27485116147,,,,
27,11701.234530272435,0.3088200018459346,11701.288247157563,11701.367854091157,11701.291928798188,11701.359289638032,11701.303530854751,11700.308347255219,11701.381079188814,11701.303144618501,,,11701.308493739594,11701.324619227875,11701.343298427095,
28,11713.40258635027,1.0348817437114712,,,,,,,,,,11712.294851161469,,11714.344619227875,,11713.568288661469
29,11715.503267502616,0.3949960789712508,11716.308247157562,,11715.311928798188,11715.379289638031,,11715.348347255218,,,,,11715.328493739595,,11715.343298427095,
30,11740.294851161469,,,,,,,,,,,11740.294851161469,,,,
31,11771.695013921884,0.5689082693985432,,,11772.351928798187,,,,,,,,11771.368493739594,11771.364619227876,,
32,11783.308347255219,,,,,,,11783.308347255219,,,,,,,,
33,11797.27485116147,,,,,,,,,,,11797.27485116147,,,,
34,11799.64408537371,0.5720652614082199,,,,11799.319289638031,,11799.308347255219,,,,,,11800.304619227874,,
35,11812.81707039975,0.7102452580619774,,,,11813.319289638031,,,,,,11812.314851161469,,,,
36,11897.25485116147,,,,,,,,,,,11897.25485116147,,,,
