sigma noise (a.u.),vertical noise (a.u.),basal noise (a.u.),horizontal noise (Da)
0.1143096068383731,-0.345396140167108,0.0,0.0
0.1154166669766737,-0.3192730499319141,0.0,0.0
0.1157528959934754,-0.288561402925422,0.0,0.0
0.1160562985075214,-0.2747949474418096,0.0,0.0
0.1162412490912651,-0.2606263494781253,0.0,0.0
0.1163191302436131,-0.2558620152834326,0.0,0.0
0.1163506448438278,-0.2479590736128936,0.0,0.0
0.1165036069959907,-0.23848675616918,0.0,0.0
0.1165951808818576,-0.2308559891240724,0.0,0.0
0.1166613560419781,-0.2261700210487944,0.0,0.0
0.116824583265058,-0.2076011513052544,0.0,0.0399999999935971
0.1170155216225411,-0.1991849665474306,0.0,0.0400000000008731
0.1174843749403807,-0.1988998994887797,0.0,0.0400000000008731
0.1176584033501042,-0.1945863222819978,0.0,0.0400000000008731
0.1178869601914791,-0.1832902362415438,0.0,0.0400000000008731
0.1179867297274169,-0.1823999405604585,0.0,0.0400000000008731
0.1182722163683495,-0.1823337207135622,0.0,0.0400000000008731
0.1187294180954768,-0.1748224412264004,0.0,0.0400000000008731
0.1187351038308018,-0.1692316513450967,0.0,0.0400000000008731
0.1187563767927949,-0.1682770306891627,0.0,0.0400000000008731
0.1187613297925081,-0.1675157962838372,0.0,0.0400000000008731
0.1188854307388929,-0.1666717040873377,0.0,0.0400000000008731
0.1189167409342324,-0.1570597783524584,0.0,0.0400000000008731
0.1190793705628709,-0.1547429495065155,0.0,0.0400000000008731
0.119145956230277,-0.1539719341260745,0.0,0.0400000000008731
0.1192845364655514,-0.1535467353116927,0.0,0.0400000000008731
0.1193995024197268,-0.1530549771884343,0.0,0.0400000000008731
0.1196564484540564,-0.1527659605278387,0.0,0.0400000000008731
0.1198119766131125,-0.1513402382571435,0.0,0.0400000000008731
0.1202879879981671,-0.1506394208593635,0.0,0.0400000000008731
0.1204279823540832,-0.1502539362699305,0.0,0.0400000000008731
0.1204322158024756,-0.1500714007039792,0.0,0.0400000000008731
0.1208228521056343,-0.1498034607380665,0.0,0.0400000000008731
0.1210345750715978,-0.1498031491249287,0.0,0.0400000000008731
0.1213890617039049,-0.1478955940943623,0.0,0.0400000000008731
0.1214192252832552,-0.1472696962284176,0.0,0.0400000000008731
