"PTM pattern (P,Ac,Me,Ox,-H2O)",average mass,mass shift,masses nutlin_only_rep1,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep1,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep1,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep1,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep1,masses xray_7hr_rep5,masses xray_7hr_rep6,rel. abundances nutlin_only_rep1,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep1,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep1,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep1,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep1,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
"(4, 0, 1, 0, 0)",44105.85164506167,333.7439999999988,44106.80764506167,44104.84764506168,44104.84764506168,44106.88764506167,44106.827645061676,44106.787645061675,,44103.927645061674,,44105.90764506167,44105.827645061676,,,44105.84764506167,,0.021467684364514586,0.05223681603343582,0.04950922496433335,0.0402871886466013,0.0849192484812097,0.11261210899811304,,0.06472685187243356,,0.026139143852321196,0.0936103573153703,,,0.047213589937825456,
"(4, 0, 0, 1, 0)",44109.327645061676,337.22000000000116,,,,,,,44108.80764506168,,44109.84764506167,,,,,,,,,,,,,0.053199995184600765,,0.05699348031019554,,,,,,
"(4, 0, 0, 2, 0)",44123.85264506168,351.7450000000026,44125.82764506167,,,44122.88764506167,,44123.747645061674,44122.86764506168,,,44123.98764506167,44123.80764506167,44122.787645061675,44124.90764506168,,,0.01826990392695641,,,0.021690686535873468,,0.050872693344400234,0.02623491521264649,,,0.016331513660018154,0.05480111694553106,0.042287402420947244,0.02432410719875946,,
"(3, 2, 0, 2, 0)",44129.01264506167,356.90499999999884,,44127.747645061674,44127.72764506168,44130.90764506167,44128.747645061674,,,44128.80764506167,44129.72764506168,,,,,44129.747645061674,44128.68764506168,,0.05808582319489345,0.022101432793706178,0.015246520111732722,0.05236852473354505,,,0.053295769808571404,0.025602389026437033,,,,,0.03396478218171556,0.033619910614683446
"(2, 5, 0, 0, 0)",44143.591645061686,371.4840000000113,44141.80764506167,44143.86764506168,,,,44144.76764506168,,,,,,,44144.70764506168,,44142.80764506168,0.015703024172783447,0.023611013054184816,,,,0.01675446298466257,,,,,,,0.01167134560229912,,0.019744159526657805
"(5, 0, 1, 0, 1)",44168.211645061674,396.10399999999936,44168.88764506167,,,,,44168.787645061675,,44167.787645061675,,,44167.827645061676,44167.76764506167,,,,0.009974387370543321,,,,,0.04445620038176813,,0.014483156275539066,,,0.03681799734097902,0.03425751735420258,,,
"(5, 0, 0, 1, 0)",44187.199311728335,415.0916666666599,,44186.86764506168,44188.76764506168,44188.90764506167,44186.76764506167,44185.787645061675,44187.827645061676,44185.80764506167,44186.647645061676,,44188.787645061675,44187.647645061676,44185.827645061676,44186.747645061674,,,0.033913588302727636,0.015667348390773946,0.022733981879825903,0.035530805899406,0.0369674975006158,0.029224565363010702,0.02339653355720262,0.01562828512251591,,0.03715006226250796,0.01586134649050119,0.015030287755347517,0.027755675885314524,
"(5, 0, 0, 2, 0)",44204.595978395,432.4883333333273,,44202.747645061674,44203.70764506168,44205.927645061674,44205.70764506167,44203.647645061676,44204.86764506168,44204.76764506167,44203.66764506167,44206.007645061676,44205.72764506167,,,44203.70764506167,44204.66764506168,,0.05934471580589776,0.031972942078714046,0.03994089406170387,0.05883071445743742,0.028668187948303836,0.035861947422144054,0.06532212042546476,0.04117831289260054,0.007408318418026921,0.04153222272831198,,,0.042475977170116364,0.03135115131358506
"(4, 3, 0, 0, 0)",44220.327645061676,448.22000000000116,,44219.80764506168,44220.76764506168,,44221.70764506167,,,44218.747645061674,,,,44220.88764506167,,44222.76764506167,44217.607645061675,,0.03421831059478126,0.012159957119598247,,0.011350180928098844,,,0.01104478630487594,,,,0.009776901294211545,,0.010345769216238846,0.04408670422096874
"(4, 4, 0, 0, 0)",44262.52097839501,490.4133333333375,,44262.84764506168,,,,,,,,44263.98764506167,,44260.72764506167,,,,,0.015710134724758736,,,,,,,,0.019168939132817794,,0.009858233847343615,,,
