sigma noise,horizontal noise (Da),vertical noise (rel.),basal noise (a.u.),is_signal
0.3037431485707778,-0.4470000000023282,0.06067613019259566,0.011008850113719874,False
0.5999999028869368,-0.28699999999883574,0.15215209909248276,0.026812795816011502,False
0.5999999998954749,-0.006999999999999895,0.14214934613035782,0.015981730175106495,False
0.599999726796588,-0.02700000000407443,0.22440881433971854,0.027182040398041056,False
0.16707081148528907,-0.006999999999999895,0.22051738115523867,0.011938103609001405,False
0.5999998783902256,-0.6069999999985447,0.6155917165345927,0.02541892696945287,False
0.5999999668097544,-0.32699999999970886,1.0544455579248413,0.013481021297294093,False
0.22580411254568894,0.21300000000116426,0.48466686952307403,0.007389033319071004,False
0.25701083251069223,-0.026999999996798474,1.1125931348421143,0.02947853963473901,False
0.20583708232036224,0.012999999996798683,1.2185382705322576,0.009577378665339269,False
0.2377992669686754,0.11300000000261945,0.8505380795333849,0.025047935744739267,False
0.20032104768471676,0.0529999999976718,1.0494135558405295,0.005775170867719801,False
0.2538195078512736,0.07300000000174633,0.6391399804147184,0.02469251315241135,True
0.3344622038262549,0.11299999999534349,0.6937750165274919,0.007786901967779164,True
0.59999999998606,-0.06699999999767159,0.947942810589069,0.0188029983693651,True
0.5999999972346504,0.07300000000174633,0.8644987517857976,0.006052382615438878,True
0.5999999952275604,-0.14699999999941782,1.8043730197173595,0.010612033529320717,False
0.5999999845230811,0.11299999999534349,1.0867822998844479,0.034303584867026365,True
0.5999999783203301,-0.1069999999985447,1.8389187158587386,0.006680865080259575,False
0.3888093101698947,0.03300000000087322,0.9755994301946174,0.005543281258685228,True
0.24261687314188154,-0.06699999999767159,0.7014036587700261,0.05212759601006926,True
0.20910128384387333,0.11299999999534349,0.7602578768553631,0.006353119456808712,True
0.30778379726886695,-0.06699999999767159,0.6982364352906759,0.01504956880766416,True
0.5999999999529999,0.23299999999796284,0.9275479121574397,0.0071515205042799275,False
0.5999999999988096,-0.1069999999985447,1.153712241286659,0.013628058380936704,False
0.19128000758990335,0.15300000000349256,0.5736378249083145,0.0068903884258856895,False
0.22564292040894363,0.03300000000087322,0.453725437104792,0.00927712946837264,False
0.5999999893305235,-0.5670000000049475,0.46125822171851705,0.017177056372336005,False
0.5999999995831881,-0.32699999999970886,0.548258533115557,0.013569969315902633,False
0.5999999999931587,-0.18700000000029093,0.5817721195412904,0.02229760691526165,False
0.5999999870364873,-0.26700000000203716,0.6052569543949635,0.011369492240607055,False
0.35698308768673565,0.2330000000052388,0.16696890731681227,0.00786586737162445,False
0.5999999888450958,-0.14699999999941782,0.07190334183012134,0.0056723258833328676,False
0.5999999999378455,-0.36700000000058197,0.03273874524523215,0.005780633324767747,False
0.5999999927723717,-0.3870000000046565,0.031999862293403465,0.013601200150817797,False
0.5999999999999277,-0.5269999999967985,0.03155985417651763,0.009626351839057357,False
0.5999999426874179,-0.9669999999991268,0.025696728423047793,0.007498612954576235,False
0.599999918877671,-0.6270000000026192,0.025154433662103504,0.01499493224101243,False
0.5999999710848445,0.03300000000087322,0.01606327348570146,0.015402135111372079,False
0.5999999930817251,0.4730000000032015,0.009831906528190685,0.00686805755118546,False
0.37310929158701345,-0.5270000000040744,0.0030694950624791323,0.034082958464145996,False
0.5999999996328441,-0.7069999999970895,0.003173890218921192,0.02175764480550769,False
0.5999999902878023,-0.4669999999991268,0.002672091737023703,0.005926539169364302,False
0.3444227094445476,-0.18700000000029093,0.0008466766655911454,0.014142611398183246,True
0.599999999978062,0.19299999999708972,0.0006331037513978077,0.01313998691399946,False
0.24080604831835253,0.07300000000174633,0.00014726405456223082,0.01309395040325565,True
0.5999999999999434,-0.4870000000032013,9.530332362161142e-05,0.006264918199924637,False
0.5999999996545108,-0.5869999999944702,0.00011517421024508196,0.009919076436961017,False
0.5999999454732287,0.31299999999970907,6.038445274289763e-05,0.016338561118060146,False
0.35496206315497525,-0.12700000000261924,1.707264578501369e-05,0.009003108102671572,False
