vertical_error,horizontal_error,basal_noise,all_detected_mass_shifts,simulated_mass_shifts,matching_mass_shifts,mass_shift_deviation,r_score_abundance,matching_ptm_patterns_min_ptm,matching_ptm_patterns_min_err,matching_ptm_patterns_min_both
0,0,0,7.0,7,7.0,0.0010543816581713853,0.9999989813592728,5.0,7.0,7.0
0,0,1,7.0,7,7.0,0.02584892168100913,0.9975771638078657,4.0,1.5,6.0
0,1,0,7.0,7,7.0,0.005331862796406951,0.999989959153993,5.0,3.0,6.5
0,1,1,7.0,7,7.0,0.025192898977436068,0.9969622310954025,5.0,1.5,5.0
1,0,0,7.0,7,7.0,0.04683341329018009,0.9966115923717231,4.5,1.0,6.0
1,0,1,7.0,7,7.0,0.03630658188633128,0.9924629085126857,4.5,2.5,6.5
1,1,0,7.0,7,7.0,0.04474015249459107,0.9980120057916806,5.0,1.0,5.5
1,1,1,7.0,7,7.0,0.04585440429134807,0.9934838681478804,4.5,1.0,5.5
