PTM pattern,intensity,mass
0,887,0
1[Ac],634,42.0367
1[Ph],832,79.9799
3[Ac],579,126.1101
1[Ph]2[Ac],541,164.0533
2[Ph]1[Ac],528,201.9965
2[Ph]2[Ac],508,244.0332
2[Ph]3[Ac],489,286.0699
4[Ph],654,319.9196





